,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1719250,0.0003030303030319924,0.00030303032482089623,0.0003030309953326579,0.0003030303030319983,0.0003030313064418902,0.6623206019721338,0.0003030310898531846,0.0003030303030317667,0.03632197420198189,0.029834926759888157,0.0003030303030319983,0.00030303030303199124,0.2681891612283241,0.00030303030303199704,0.0003030303030319983
1719251,0.0003100775193809869,0.0003100775525143868,0.0003100782778711177,0.0003100775193809909,0.0003100779746558061,0.39741239630444086,0.000310078248263361,0.0003100775292938853,0.00031007829162721785,0.1726994721421568,0.0003100775193809909,0.0003100775193809862,0.4261671985628907,0.00031007751938099006,0.0003100775193809909
1719252,0.0003853564547219108,0.0003853565999770921,0.00038535747962868997,0.0003853564547219153,0.00038535695417696384,0.5056800130988025,0.0003853573337003336,0.0003853564801545599,0.00038535731782320896,0.0003853577567779132,0.0003853564547219153,0.00038535645472191003,0.489310348250627,0.0003853564547219144,0.0003853564547219153
1721352,0.00010416666666766803,0.0001041668552334947,0.6458419974258115,0.00010416666666767153,0.00010416676393660495,0.00010416695964621868,0.00010416688277534365,0.00010416667703799548,0.00010416688226267128,0.00010416685983847174,0.00010416666666767153,0.00010416666666766738,0.35280383469345156,0.00010416666666767081,0.00010416666666767153
1724351,2.32855981648581e-05,2.3285617035098842e-05,0.32986081412831875,2.3285597858121074e-05,2.328567479955427e-05,0.05664982266615055,2.3285653693996124e-05,2.328560200904496e-05,0.5493180612268613,2.328565545824039e-05,2.3285597858121074e-05,2.3285597858119448e-05,0.0639151601882178,2.328559785812079e-05,2.3285597858121074e-05
1733252,8.220304151374799e-05,8.220305826091843e-05,0.2270919985397474,8.220304151375219e-05,8.220316948301492e-05,0.5203735022802539,0.24185914254258195,8.220304711848255e-05,8.220328216502317e-05,8.220325771569069e-05,8.220304151375219e-05,8.22030415137472e-05,0.009771122573590913,8.220304151375132e-05,8.220304151375219e-05
1733350,9.935419771603068e-05,9.935421591957005e-05,0.35905826235858235,9.935419771603477e-05,9.93544000223288e-05,0.5758995665026527,9.935447414154329e-05,9.935419771587347e-05,0.06384991977558535,9.935443618796742e-05,9.935419771603477e-05,9.93541977160299e-05,9.935445289645311e-05,9.935419771603392e-05,9.935419771603477e-05
1734751,8.140008140086782e-05,8.140008387294976e-05,8.140030705439764e-05,8.140008140087054e-05,8.140037745093521e-05,0.4821897023183605,8.140031414910227e-05,8.140009506867052e-05,8.140030310597164e-05,0.005384271267174793,8.140008140087054e-05,8.140008140086732e-05,0.5114492244453573,8.140008140086999e-05,8.140008140087054e-05
1738751,0.0003623188405842923,0.0003623188836872028,0.0003623199233104573,0.0003623188405843083,0.026361106256190887,0.09618522731773363,0.19594830848050893,0.00036231884058368006,0.34280857446904833,0.0003623198208658556,0.0003623188405843083,0.00036231884058428933,0.3350735929645654,0.00036231884058430494,0.0003623188405843083
1740350,0.0006872852233732069,0.0006872852234680738,0.6219080794742808,0.0006872852233732261,0.0006872862680410006,0.0006872873446927938,0.0006872873280652802,0.0006872867158485311,0.20438076651951043,0.000687286517035998,0.0006872852233732261,0.0006872852233732033,0.1654637232688179,0.0006872852233732221,0.0006872852233732261
