,0,1,2,3,4
,0.20032280914225625,27777.46123517266,154135.793234526,113788.86150072659,140806.68370676495
april,0.20001618686804237,0.20417198732364766,147.30580673560428,35.886171009021666,20.40383408067746
19,0.20000818815206894,0.20221313359644372,433.12090373852453,12.991764197628383,33.48511074157964
2012,0.20002423040231243,0.20162715721138505,660.9077379381333,32.362372387758406,463.32823828602216
tip,0.20002051365425755,47.478813014247194,15.642233939073352,4.250184020218295,93.42874851230332
from,0.20008551134397157,619.8798972717717,3275.9868423998337,2513.458184540986,2289.474990275547
the,0.20027688970461827,11202.349605220703,46483.33740380308,30628.437478137188,23966.675235948787
lord,0.20000937836865834,0.2007986817600939,6.516429901596333,354.79973502605014,0.2830270117625801
of,0.20022839924345312,4102.05857281925,25739.91716527489,14662.053929012052,9608.770104494048
darkness,0.2000138089162426,0.20225568365902655,1.376819477039998,61.927932755322395,0.2929782744051206
-,0.20003223240210063,10.379833058842422,578.8877908109056,625.7191444666462,1684.8131994306916
have,0.20006074600103974,795.9927977715447,7008.378175637492,4967.7225926943,10672.706373150151
send,0.20005419096619778,59.94908541865503,98.03536443372595,221.59477161717984,149.22072433896398
me,0.20018562044263735,0.20239171510398854,8.047673433489258,778.9728888661017,2624.5768603644283
these,0.20010026664782296,238.98506674284567,1312.128189187866,473.35005268692095,647.3365911152024
three,0.20001530324344563,57.2419612484105,262.2422864206371,367.2059062981008,195.10983072909278
one,0.2002503808756869,354.0990295161006,1670.3228761556786,2136.238032339085,2245.1398116077457
food,0.20530469926104927,176.37095425263098,190.8770291465625,43.1565358306315,348.39017607040574
planet,0.2000192374982265,65.83693411515502,23.913695490182025,5.379154607650413,26.670196548997996
be,0.20029888134522475,4983.061864395024,27887.43076406094,15823.064659740723,33313.242412921434
a,0.2002708573986171,4606.093512336099,17496.788395871972,7788.115521517677,19258.802299416344
cool,0.20005967777250627,0.23849049327455468,23.8192616468362,5.330525530931851,132.41166265062563
place,0.2008284659272763,156.62178700743254,401.2508791639785,432.924552080953,513.0019532811957
to,0.20018732906780054,3497.0828897094398,20272.761522190576,11500.354036316388,20562.601364454003
chill,0.20001841336828788,0.20818312990582924,0.29376127305850974,1.5362159404537967,15.761821242735145
out,0.20005044467167463,140.79894308104147,631.7860652248986,739.0816060961982,2284.1333351526823
and,0.20060852110102378,2489.16632120026,19288.758926796614,15209.65265862576,16715.221484855752
enjoy,0.20184860256587842,0.20549596536203352,40.294127612897505,69.47082648906601,250.82770132961082
smell,0.20031227033298885,3.1416467012550533,2.20033032411345,23.16724381697564,77.29046688686267
chocolate,0.20073129514952698,0.21246398630759517,2.398832574823531,0.20171356463786547,66.98625857864569
but,0.20017098014290752,267.30726660930287,1559.3818376757004,1799.122537859692,4586.98818687465
there,0.20020256271572887,266.7053005805997,1469.2987331603422,1049.5159505208194,2648.279813175009
only,0.20008466630031058,228.96890562935823,1066.6813482628536,680.1014827145246,993.0481787264483
thing,0.20004000188351154,0.27308512605717883,187.45076439155358,434.5726628820512,1529.5034475979585
dodge,0.20002372229016305,0.251031263393565,7.924634637891234,9.901229925419042,2.7230804503504147
fast,0.2000121198793612,50.26984285028776,31.167709951546062,117.40020890232272,93.96222617546344
big,0.2006539541587447,23.688665976040383,160.46318672916476,54.64000570788111,648.0074876322575
hide,0.20001273332625188,0.22150920028303672,16.31442033562185,90.65610612620785,62.60795160398096
spot,0.2000591488813592,15.250334599988765,17.739716294881514,50.053840329819565,131.75604962592595
do,0.20024611648842702,276.9665165097347,1787.8519105589796,2114.100082850191,8155.881243964098
n't,0.200427765313718,25.98878171648153,147.42033740262968,155.89359304590903,5541.496860069212
for,0.20025898833533087,1127.8840205581994,7022.098543994924,3327.213281080222,6672.603895377807
too,0.20095586545793967,4.770048133796036,164.76044917622085,164.6767912168401,1003.5917556071864
long,0.20056047107299063,152.69390922713905,417.9423302122853,252.874933341915,721.288266747076
or,0.2003357730749119,1281.138144330037,3977.109567358498,1161.1574715140414,2317.394481023834
it,0.20037530015894756,839.7931579549788,4762.470659726511,3460.520831419524,10815.01497559831
would,0.2000450190770203,136.23204439525583,1412.8609462525521,842.3860229417468,2123.3209413908535
make,0.20077132474651135,290.80797985017995,1336.8649995458904,897.9157627304105,2182.2104865482584
game,0.20001659442751518,4.814348156263775,8.087605856816309,228.68187783043797,662.2161515615942
unfair,0.20001239742390337,0.20034959566640356,20.226510146861667,0.20445078760034796,11.168677071983579
others,0.2000703449571202,11.860984744378197,311.3547372705958,263.11963133457226,188.46457630497855
who,0.20004821941278156,10.390310813865124,1495.538075277753,2268.7648146318716,1403.1067510565865
two,0.20003601372379992,246.03487550222266,568.0713121809205,611.6080788462103,512.0856974564089
zombie,0.20001311961785825,0.20268451157922487,0.2019241560726542,0.21755993376941982,20.17781827864564
quite,0.2003097224628897,26.238928445977756,111.44332184639326,44.02994938930573,386.087490595351
hard,0.20005938063820516,15.946004529253319,84.82655720154976,55.80111176216688,510.22626712589124
without,0.20014548273125263,92.1378589786168,431.56847078224035,294.01687856247696,280.07664619341847
fuel,0.2000212185002807,0.20412363272569461,71.47090738785762,7.942679934104458,34.18226782630275
in,0.2003804883871853,2336.1368326985216,15901.524550575992,8628.661458836232,8068.476777400356
your,0.20041182245556488,1395.14130016944,142.6559556553452,578.3929181591247,3549.6094141931735
jet,0.20002097711262642,2.5673555470241776,11.538308822910338,37.69416723016968,19.000147422273628
pack,0.20002693219595785,0.2078118479486871,35.70969336977201,3.793460524939033,72.08900732464234
some,0.20050043183161326,197.02362957877895,1054.5150854906026,484.2681364961994,1731.992648002073
