,0,1,2,3,4
oikeesti,2.482010262445041,58.87429998592617,8.670877312271541,63.15612945328886,136.81668298563372
homo,24.14715901332221,11.338834202477917,183.6412014283252,141.43745635488062,215.43534900056736
täysi,197.79505526872023,207.71980011591123,100.7927337875747,15.564279596647392,170.1281312307119
järki,156.9831492456944,207.54637027167075,140.65164789573353,27.121593016638453,233.69723956982756
kaikenmaailman,12.066563411783868,12.12191938114606,7.065496875906237,8.01048289380393,15.735537436911764
kulkue,0.2111080490719578,4.547899780994926,3.3524175115247545,0.20189864781413158,3.6866760100987053
sit,7.138557564198599,156.81949181580154,4.494039402384813,406.9944383896497,260.5534728275376
harmiton,2.10369463742779,2.433867762700655,3.845417750535569,7.744282024814042,8.872737824051521
tilaisuus,72.12130113689192,31.067003781008818,86.9157368862922,2.1336387984049345,94.76231939697117
osoittaa,203.53071725046863,89.33506969121477,264.26710296795693,23.11502650203574,191.75208358789328
tuntu,1.707526029850329,7.9863651613480835,2.0637156332202204,18.43598258114029,15.806410593982601
hävettää,21.300395103246082,17.26982240123368,6.6001984870283295,19.341157663549435,90.48842634452257
tykätä,8.87300668110643,140.45943866451682,6.055608647128018,356.23446369041926,428.37748231640535
vastakkainen,8.976750591793103,0.22117065312433412,8.188007217810842,12.881853639801935,49.73221789705569
sukupuoli,12.541012287547144,1.3744312152015554,12.351360397557887,29.830318546660198,214.90287755260826
ymmärtää,620.6511574311579,537.3114253454406,653.8726992346254,209.43215747623097,1503.732560512114
jatkuva,55.42142350654271,56.130295457864335,37.217740865717865,42.76515047260008,80.46538969683665
toiminta,624.6395550638255,368.504022445966,207.43540704044813,15.658807360364413,184.7622080889648
mokata,12.235471537284596,5.267726643061784,4.476972307795708,1.2088508216804434,20.81097868973551
homma,180.56801946571989,650.8461533200993,33.16790788486013,86.51059844194971,285.9073208869364
Aina,38.15722870359337,59.44528951624323,17.56144914958194,23.55395819716462,75.2820744329781
näytillä,0.2019998551469568,4.245480071482199,2.6061101293590463,1.7233299285061787,0.22308001504016006
otsikko,43.694544130098755,24.684195149822255,50.11361551839509,12.155892003335234,54.35175319791177
etusivu,15.793696630071175,23.668732908491382,5.235013572566215,0.4072142391531436,9.895342649282622
ois,4.770239693065936,107.33585717308983,0.20228586324522346,125.45696710323084,124.2346501669781
ikinä,55.64447527321305,220.851870831495,60.90156637417718,113.86721187601701,402.7348756446634
uskoa,260.9053232816731,303.9433151716719,1515.5584578616554,169.28019306982165,897.3127106147425
tää,66.00316274008713,296.3315210333983,32.91273592982414,293.01426766857713,548.7383126276784
tuntua,128.96465328429875,386.03226592925523,100.08212921135207,461.9987820125063,1169.9221695621563
Putin,276.0608151118414,0.24547562419086663,75.2913285468835,0.2009210596319984,0.20145965720301365
linja,171.4834839689615,83.48583938959597,14.689445685779344,30.74962954436723,45.59160141085865
minne,36.07388048866842,136.874221657939,39.771271375698504,25.515403413182327,72.76522306406875
katse,9.748273771571643,18.892646153892233,6.31888087699027,42.2712857483261,136.76891344878368
taikka,32.943427176825324,64.43074257787929,31.337260580593018,0.5548875718311981,53.73368209244145
telkku,0.8848077438485171,7.845190272819901,1.0942910818211664,2.0782398710764953,31.097471029978824
kanava,41.38965820667696,157.45216772043767,21.991596184181674,2.528909509336442,23.63766837892648
kääntää,96.18361563266737,105.07129468690893,113.60981846303821,35.850019082509235,82.28525213443685
silmä,96.54056405976971,138.44872524327076,230.6169211473591,291.48979225075226,522.9039972984132
lautanen,3.076660440292842,27.546620751564586,2.2280468371808664,0.22350490491032546,15.925167065560629
transsi,0.2001087171586093,0.20034956578541016,2.141492246510387,0.20597982573846627,3.25206964454772
kuinka,408.4484231866489,591.7570896042206,443.60380768988676,259.26471479777484,851.9259647210292
sortaa,33.062174179364774,1.5392065206435046,21.260396188335065,7.934224752317366,0.20399835895133617
yhtään,227.90916693023382,375.61708243937767,159.45143345212657,150.73560951892966,506.2867076588951
ihmetellä,169.8103699221309,249.40134826332744,90.69560698390816,75.1575270104992,343.93514781969856
homoviha,0.20733359504542118,0.20090630358920372,4.077925028926961,1.307751118561834,0.20608395349750053
nousta,424.4127942246898,362.8654103528021,249.3616905074928,198.49218823341573,125.86791668116484
viellä,18.122697643795284,14.661480718949653,3.571827537540166,8.813772650240319,18.830221449032504
uskomaton,21.669073366951316,39.466818506460115,26.5652370650376,6.438999859204459,73.85987120191128
mittasuhteet,7.775051228797471,5.530960867083899,3.2259654820587222,6.173678122285635,8.294344299322418
no,403.92630999335404,1090.3601562427978,298.06383550110826,455.07697160968445,1435.5727266526185
syyttää,155.4755002382216,29.881625453594502,109.43595704710867,8.333327708997551,163.8735895516506
uskaltaa,123.3545814538634,155.77000054117715,52.979290568514976,77.54619899247884,437.3499284435352
kohta,329.58034330550083,803.3198257467687,370.1857249595913,281.56128178629035,765.3528242014099
kauppa,119.05053341217354,937.0909658551607,11.386499703478108,56.46061719523847,110.01138383351483
vaimo,36.81623824579719,54.56421399381622,208.6779709092267,58.38738659469436,701.5541902560421
/,153.0811011947108,1056.6374728644328,414.1239964336958,436.1770122153594,718.9804172913637
tyttöystävä,0.5828262635837236,3.7553355919600655,0.20026577716802002,5.840613712514326,212.62095865442373
Voipi,0.2059537611572506,9.417282953561285,0.2014486579771729,0.20143692549044556,9.973877701454514
ympäröidä,7.0707530361835005,5.214926588830363,25.284615275903036,3.6863493376543546,7.743355760972738
haukkua,138.29692863154375,59.450714270433146,42.88136261247348,17.01247630807372,443.3585181770643
sairas,141.20380868768092,41.97178430719825,139.8350987666973,62.90598894230176,388.0833192956978
