,0,1,2,3,4,5,6,7,8,9
S24_2013_11735526,0.00040168881049961933,0.1039039607681401,0.049294570249523474,0.14895827044633514,0.501867543668461,0.00040175328513246395,0.000401700286385476,0.0004017262503094406,0.19396709242358262,0.0004016938116305959
S24_2013_10819863,0.4383255984859187,0.00041164035694060734,0.00041164014187221375,0.22941638942592882,0.21951367065475208,0.00041163581860388594,0.00041158303767305823,0.00041161759650903154,0.00041164352507052103,0.11027458095673114
S24_2013_11445294,0.0003165453269957336,0.0003165125673555076,0.00031652047351377706,0.7910691991515959,0.0003165447639109908,0.00031651616553631006,0.0003165025848677533,0.0003165311962751351,0.2063985735444972,0.00031655422545166204
S24_2013_11532605,0.00020003896498607495,0.9230043228600117,0.00020006105361027683,0.07539524828310086,0.00020005641670343724,0.00020004682741513475,0.0002000331125850204,0.00020007577509128515,0.0002000627310160806,0.00020005397548020616
S24_2013_11584832,0.3352179177324011,0.00014330892925022072,0.33154286629388396,0.06977653344255792,0.17690623250537438,0.0001432977851595809,0.06577965884818955,0.0001432947171694696,0.020203594152268967,0.00014329559374477897
S24_2013_11947106,0.00016954077217058242,0.6960103477320477,0.014791043421561614,0.11231209814879131,0.07295108701441498,0.0001695323956471631,0.0001695329882473989,0.00016953317150094976,0.10308774909737538,0.00016953525824267842
S24_2013_11191735,0.08746061302522046,0.0003585120098953887,0.6514159030698609,0.045118861336494426,0.20725052878236463,0.0003585145394782083,0.0069615125948049045,0.00035851315817698516,0.0003585395963218646,0.0003585018873820661
S24_2013_11831038,0.4377572700635082,0.00040330420616990233,0.27121985986906405,0.0004033172654098678,0.0004033567566909919,0.2881995105832203,0.00040330324739890983,0.000403326398727549,0.0004033927089652372,0.0004033589008451168
S24_2013_11256816,0.025279007728852155,0.000181193415055859,0.00018119683453116656,0.0001812137733664889,0.8851121507986889,0.0001812121622389984,0.00018118466953783745,0.08834042342615221,0.00018120185485145013,0.0001812153367250751
S24_2013_11179684,0.0002457548194345117,0.0002457402378829372,0.00024574580814796767,0.12129947372261324,0.7682519180460267,0.00024577708286180214,0.00024572859101263696,0.10872833251385318,0.00024575224755499215,0.0002457769306121684
S24_2013_11620754,0.5592616594412425,0.0002347967444444154,0.2868785757943969,0.0753725115614627,0.00023480035693487712,0.00023479841845940608,0.00023478108515199894,0.00023480063398951314,0.00023480172912380146,0.07707847423479391
S24_2013_11947552,0.0001739624134610004,0.05128486091944191,0.04638731474004221,0.00017395411686108313,0.00017396390277413275,0.5584734129324997,0.00017395670079889324,0.34281065236318736,0.00017396969451877975,0.00017395221641495646
S24_2013_11812815,0.18073496526917157,0.01619586544416914,0.7611410573900141,0.00015223884566453562,0.00015225278495629345,0.0001522440652727865,0.03790829868059478,0.00015225440648530234,0.00015224576636480708,0.003258577347306616
S24_2013_11594670,0.1275003533992572,0.5004793831658724,0.15245392769116992,0.00043493054628510145,0.1640027930514921,0.00043487309929045494,0.053389072699088734,0.00043489145171586986,0.00043489458539054784,0.00043488031043772724
