,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
S24_2013_11735526,0.017592207915634074,0.22486010890289562,0.00022311471224063602,0.00022311471249232814,0.00022311472447156193,0.00022311471111163088,0.00022311470448335878,0.2135129786756692,0.0002231147178347766,0.05924088415517446,0.01609579860704197,0.00022311471746515226,0.00022311471338444156,0.00022311474710782928,0.00022311474257450555,0.00022311470975924013,0.4660206451191002,0.00022311471155892556
S24_2013_10819863,0.036787849263558034,0.00022862371457543193,0.00022862369841277595,0.00022862371925414077,0.00022862371806249467,0.00022862370954729498,0.0002286237203978117,0.0002286237145382407,0.00022862371434766827,0.018237583309105725,0.00022862372149766368,0.0844105603608448,0.2772813879245971,0.00022862371451149306,0.00022862370586085656,0.15689314225712953,0.19393669789019352,0.22993791814356537
S24_2013_11445294,0.000175808751246909,0.00017580873786895968,0.00017580873187769198,0.0001758087457907916,0.00017580873786514914,0.015374219606728856,0.0001758087414488663,0.00017580874126687095,0.00017580875058092565,0.00017580873700825874,0.00017580873477883194,0.00017580874990109858,0.1995777309492536,0.00017580874483390084,0.00017580875914062605,0.05949273861169715,0.7230939884281702,0.00017580874054128718
S24_2013_11532605,0.00011111112954105718,0.00011111112526759896,0.00011111111870329937,0.00011111113561505882,0.00011111112294045189,0.00011111112433740668,0.00011111112891182849,0.00011111112780787897,0.00011111112290530755,0.900168800591706,0.00011111112524039987,0.00011111112395848772,0.0733664499319875,0.00011111112321125763,0.0001111111187740932,0.00011111112544429532,0.024798082596310847,0.00011111112733713055
S24_2013_11584832,7.959249886372743e-05,0.039926719384080454,7.959249617651954e-05,7.959249761737036e-05,0.07039503380102766,7.959249734919162e-05,7.95924966851892e-05,0.07593884592390189,7.959250008668467e-05,7.959250038865393e-05,7.959249441520068e-05,0.018044003408042974,7.959249715139058e-05,7.959249475038859e-05,7.959249136881015e-05,7.959249558897447e-05,0.20037194331960992,0.5943683442028949
S24_2013_11947106,0.03143738255125625,9.416197188094311e-05,9.416196633503534e-05,9.416197132947124e-05,9.416196900608676e-05,0.06747488803790834,9.41619789965074e-05,0.032016227032160165,0.07035534097003138,0.6019564409802303,9.416197620746778e-05,9.416197122726107e-05,0.04697804349065586,9.416196906304049e-05,9.416197243919484e-05,9.416197367979213e-05,0.14874589524689621,9.416197069667967e-05
S24_2013_11191735,0.00019912389488728084,0.00019912389334506133,0.005737546193539984,0.00019912388167755453,0.00019912388163604574,0.0001991238996068881,0.0001991238810077451,0.4896081148661463,0.00019912388134055484,0.0001991238819582094,0.00019912388150564644,0.05682165976479438,0.034604742366190495,0.0001991238772741055,0.00019912386671217913,0.1275199574879769,0.11676746562329156,0.16675015097710907
S24_2013_11831038,0.00022401438428852806,0.00022401436854009495,0.00022401434945808468,0.00022401438872040943,0.08094998043492778,0.12315011102065308,0.24680898138300844,0.00022401436371927621,0.00022401435703747684,0.0002240143600927041,0.15828317699008576,0.00022401438091944928,0.08322205541216998,0.00022401435420106702,0.00022401434495915236,0.00022401437279712173,0.00022401438807236024,0.3048975223463492
S24_2013_11256816,0.15091538218984693,0.06661856717269005,0.00010064413048166804,0.00010064413994190956,0.00010064413975230949,0.00010064413434650397,0.047069892103688386,0.00010064413296373611,0.00010064413586807633,0.00010064413350534624,0.0001006441374089805,0.00010064414254156675,0.025099952383238706,0.00010064413110435443,0.00010064412651378642,0.00010064413904022225,0.708987832388965,0.00010064413810245449
S24_2013_11179684,0.2793420696521591,0.00013650015330943149,0.00013650014246083277,0.12307555585203653,0.047363082595742054,0.0001365001519739173,0.00013650015609136435,0.010171868232852165,0.00013650015448773436,0.00013650015085192048,0.00013650014850801967,0.00013650015423218216,0.00013650015792772275,0.00013650014984851975,0.00013650014353515288,0.00013650015027135697,0.5382729217030635,0.00013650015064850415
S24_2013_11620754,0.00013041213485861063,0.00013041211726958065,0.00013041211889120116,0.015062927164404986,0.008941148124144423,0.00013041212275941797,0.00013041211946159868,0.00013041212302579243,0.00013041211662047068,0.00013041212223425215,0.00013041211774346154,0.0001304121251577398,0.1687803493931651,0.06638153635099296,0.0001304121116306512,0.25140457885143747,0.0001304121210092442,0.4878645146651931
S24_2013_11947552,9.661837016498654e-05,0.048587572537256214,9.661837317600135e-05,0.6106445235053155,9.661837489810731e-05,0.02975038940229429,9.661837157114176e-05,9.661837267977032e-05,9.661837016278886e-05,0.02264134744180896,9.661837071507107e-05,9.661837200440341e-05,9.66183725075798e-05,9.66183668228045e-05,9.661836297014618e-05,9.661837423845715e-05,9.661837364958536e-05,0.2871201282877641
S24_2013_11812815,8.455946488578586e-05,0.014856653867672721,0.009428384978610302,0.0164811631435916,0.060587892163581424,8.455945354368021e-05,0.19215036269660216,0.050951966714484175,0.011341603890170797,8.455945796054035e-05,8.455945706325713e-05,0.003994472357143359,8.455945491399134e-05,8.455946053239241e-05,0.002624581249283735,8.455945498927706e-05,8.455946161787052e-05,0.636906443273353
S24_2013_11594670,0.00024154593002253383,0.00024154593295765635,0.000241545912153959,0.00024154592953297833,0.00024154592541802654,0.00024154593406413048,0.0002415459322738006,0.00024154592950348248,0.00024154591529646294,0.5348507312293457,0.00024154593175493058,0.06218948148199457,0.0002415459206882787,0.00024154591248462176,0.00024154591776236786,0.00024154592112355432,0.00024154593743548063,0.3993365984061874
S24_2013_11742593,0.00010250103663868094,0.00010250103618885215,0.2023369550277423,0.09188986426437183,0.00010250103613376647,0.00010250104044886844,0.00010250103785331491,0.00010250103658306873,0.00010250103401827888,0.00010250104121267393,0.00010250103512517924,0.2110114957386764,0.00010250103684636916,0.4933266704478059,0.00010250103539006077,0.0001025010361984492,0.00010250104050825722,0.0001025010382574606
S24_2013_11161117,0.1125458213478042,0.016583761553119927,8.989572501350944e-05,8.989573973974577e-05,8.989573689707673e-05,0.036424748696547236,8.989573459712557e-05,0.048109225678578095,8.989573270955806e-05,8.989573709280355e-05,0.05949969284319551,0.081498558832095,0.40410908563931236,8.989573377062349e-05,8.989573176687877e-05,8.989573426930326e-05,0.24033014807159037,8.989573190064082e-05
S24_2013_11180865,0.000117453624502866,0.1024261940026247,0.00011745362212098704,0.00011745361852114655,0.00011745362251892858,0.00011745362253164009,0.05158477230677936,0.02913527974294262,0.00011745362090394023,0.6889628106502808,0.00011745362167564471,0.00011745361842823525,0.00011745362177513744,0.00011745362151591567,0.00011745361110451019,0.00011745361830389258,0.1263640462312479,0.00011745362222179473
S24_2013_11832809,0.2903990535502031,0.06767290542987896,0.00020729686087250107,0.0002072968709842405,0.00020729687938016378,0.00020729687147265932,0.00020729686716551934,0.08598447368349521,0.00020729688405889306,0.00020729686892107243,0.00020729687679625207,0.00020729688509899224,0.1625402784882892,0.0002072968679954657,0.00020729686995491918,0.00020729687371611477,0.3907084295004158,0.00020729687130085033
