,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
S24_2013_11735526,0.00013386880856865944,0.00013386880856855547,0.00013386880856859458,0.00013386880856855135,0.00013386880856851215,0.0001338688085685729,0.00013386880856858932,0.00013386880856857986,0.0001338688085685479,0.06813880411265466,0.00013386880856855883,0.1926293966719276,0.0001338688085686053,0.4229349012279477,0.00013386880856870067,0.005757092302262482,0.00013386880856879193,0.000133868808568622,0.0001338688085686098,0.00013386880856870652,0.00013386880856850638,0.026317447006887006,0.00013386880856862074,0.00013386880856854598,0.00013386880856850825,0.00013386880856855433,0.00013386880856860236,0.0001338688085685722,0.2810095072726742,0.0001338688085687329
S24_2013_10819863,0.0001371742112488031,0.00013717421124888188,0.0001371742112488921,0.00013717421124882906,0.00013717421124885435,0.00013717421124883128,0.00013717421124886155,0.00013717421124883564,0.0001371742112488819,0.00013717421124881046,0.00013717421124887665,0.00013717421124884705,0.00013717421124882613,0.10337379195088739,0.0001371742112489691,0.0001371742112488625,0.000137174211248814,0.00013717421124886462,0.8927853301341446,0.00013717421124882857,0.00013717421124901985,0.0001371742112487601,0.00013717421124883158,0.00013717421124888142,0.00013717421124882366,0.00013717421124882851,0.00013717421124887288,0.0001371742112490122,0.00013717421124889308,0.0001371742112488254
S24_2013_11445294,0.00010548523206824554,0.00010548523206826087,0.00010548523206816557,0.00010548523206818568,0.00010548523206821447,0.00010548523206816615,0.00010548523206821443,0.0001054852320681364,0.00010548523206814794,0.00010548523206815847,0.00010548523206824121,0.00010548523206817237,0.00010548523206818728,0.38378661237828604,0.00010548523206816526,0.00010548523206815602,0.00010548523206824088,0.0001054852320682433,0.5726033687805443,0.00010548523206819352,0.00010548523206818171,0.00010548523206814409,0.0001054852320681584,0.00010548523206827762,0.00010548523206814282,0.00010548523206822106,0.00010548523206816172,0.04076191757532851,0.00010548523206826453,0.00010548523206815053
S24_2013_11532605,6.666666666712004e-05,0.05871339945072657,6.666666666711066e-05,6.666666666712645e-05,6.666666666708332e-05,6.666666666708266e-05,6.66666666671123e-05,6.66666666671027e-05,6.666666666708035e-05,0.008716147150498583,6.666666666710593e-05,6.666666666710186e-05,6.666666666709906e-05,6.66666666671285e-05,0.887614802213207,6.66666666670937e-05,0.006443698521221638,0.036845285997668835,6.666666666711762e-05,6.666666666710077e-05,6.666666666706102e-05,6.666666666706892e-05,6.666666666711484e-05,6.666666666713021e-05,6.666666666709275e-05,6.666666666706949e-05,6.666666666712682e-05,6.666666666716014e-05,6.666666666711205e-05,6.666666666710635e-05
S24_2013_11584832,4.775549188184291e-05,4.775549188185273e-05,0.15761650547333714,4.7755491881828724e-05,4.77554918818293e-05,4.775549188183396e-05,4.7755491881828975e-05,4.7755491881836734e-05,4.775549188181427e-05,4.7755491881831896e-05,4.7755491881835053e-05,4.7755491881830784e-05,4.7755491881810564e-05,0.011219415106454618,4.775549188184511e-05,4.775549188182375e-05,4.775549188187081e-05,0.3344580522709349,4.7755491881824144e-05,4.77554918818208e-05,4.775549188181994e-05,4.775549188181253e-05,0.3870675389393306,4.7755491881836754e-05,4.775549188181209e-05,4.775549188181551e-05,4.775549188183632e-05,4.775549188181249e-05,0.10844460091289658,4.7755491881842074e-05
S24_2013_11947106,0.04417002253591439,5.649717514178213e-05,5.649717514174005e-05,5.6497175141748047e-05,5.6497175141727596e-05,5.649717514173302e-05,5.649717514175618e-05,5.6497175141737327e-05,5.64971751417263e-05,0.06975048979072626,5.6497175141762995e-05,5.649717514175305e-05,5.649717514173839e-05,0.20121137532788125,0.49507219756070164,0.04230233786323281,5.6497175141787295e-05,5.649717514177297e-05,5.649717514176446e-05,5.649717514173725e-05,5.649717514173906e-05,5.649717514171899e-05,5.64971751418065e-05,5.649717514177369e-05,0.11387424951770034,5.649717514174918e-05,5.6497175141737327e-05,5.6497175141747064e-05,5.649717514175498e-05,0.03231989237558269
S24_2013_11191735,0.00011947431302324219,0.00011947431302328754,0.1829667678092511,0.00011947431302337622,0.00011947431302328741,0.00011947431302330166,0.00011947431302332655,0.00011947431302325856,0.00011947431302331625,0.00011947431302332787,0.05208132350179777,0.0001194743130232728,0.00011947431302328081,0.11361065840346915,0.00011947431302329945,0.00011947431302333946,0.00011947431302329285,0.15598611265992574,0.00011947431302335804,0.00011947431302332986,0.015329795719769782,0.00011947431302323637,0.00011947431302330537,0.00011947431302329663,0.00011947431302352733,0.00011947431302323598,0.17318812600395264,0.00011947431302330357,0.05090489242866221,0.2533038885866588
S24_2013_11831038,0.0001344086021513268,0.00013440860215133184,0.3326561379367928,0.00013440860215138464,0.03623158778170435,0.03289783808755765,0.07518100457631502,0.00013440860215139936,0.37814029248686704,0.00013440860215134458,0.00013440860215144023,0.00013440860215132615,0.00013440860215136756,0.0001344086021514139,0.000134408602151338,0.00013440860215138038,0.00013440860215133593,0.00013440860215138404,0.14166733267913034,0.0001344086021513989,0.0001344086021513049,0.0001344086021512715,0.00013440860215140535,0.00013440860215144227,0.00013440860215133235,0.00013440860215130417,0.0001344086021513795,0.00013440860215144712,0.0001344086021514129,0.0001344086021514135
S24_2013_11256816,6.038647343044707e-05,0.009446279717475865,6.03864734304808e-05,6.038647343045772e-05,6.038647343045596e-05,0.017973511558910544,6.038647343048229e-05,6.038647343046266e-05,0.011084385174813872,6.0386473430460824e-05,6.038647343048767e-05,6.038647343045333e-05,6.038647343046668e-05,0.9199217944888239,6.038647343044433e-05,6.038647343047873e-05,6.0386473430456785e-05,0.021857385786760143,6.038647343046219e-05,6.0386473430459076e-05,6.038647343045347e-05,6.038647343041352e-05,6.03864734304593e-05,6.038647343044789e-05,0.007446505264330215,6.038647343042216e-05,6.0386473430454034e-05,0.010881249119984948,6.038647343046687e-05,6.0386473430456955e-05
S24_2013_11179684,8.190008190052957e-05,0.13122253964719466,8.190008190052952e-05,8.190008190058112e-05,8.190008190054601e-05,0.06516254498650162,8.190008190055872e-05,8.190008190053426e-05,8.190008190054303e-05,8.19000819005314e-05,8.190008190052652e-05,0.021236877483190374,8.19000819005239e-05,0.7002421310181064,8.190008190051501e-05,8.190008190053383e-05,8.190008190054656e-05,8.190008190054075e-05,8.190008190055777e-05,8.190008190054132e-05,8.190008190053274e-05,8.190008190048329e-05,8.190008190051524e-05,8.190008190058722e-05,8.190008190062467e-05,8.190008190050368e-05,8.19000819005147e-05,8.190008190052245e-05,0.08008840481749349,8.190008190052236e-05
S24_2013_11620754,0.018912705302876184,7.824726134640225e-05,0.1276992421570071,7.82472613464637e-05,7.824726134643566e-05,7.824726134639338e-05,0.2293898375504608,0.018236252967270713,0.02147457796755608,7.824726134639664e-05,0.44840297461445927,7.82472613464446e-05,7.824726134637842e-05,7.824726134642242e-05,7.824726134639652e-05,7.824726134640709e-05,7.824726134643569e-05,0.02309014543231442,7.824726134641238e-05,7.824726134638011e-05,7.824726134636362e-05,7.824726134636717e-05,0.11107282425843484,7.824726134641909e-05,7.824726134641033e-05,7.824726134636951e-05,7.82472613463905e-05,7.824726134640347e-05,7.824726134637936e-05,7.824726134641888e-05
S24_2013_11947552,5.7971014492912287e-05,0.025426182916599933,5.7971014492937366e-05,5.797101449290768e-05,5.797101449294113e-05,5.7971014492919564e-05,5.797101449292105e-05,5.797101449292332e-05,5.797101449291695e-05,5.7971014492927255e-05,5.7971014492931104e-05,5.7971014492915356e-05,5.79710144929002e-05,0.1461991597934252,5.797101449294517e-05,5.7971014492924355e-05,0.04586252764761635,5.797101449291154e-05,5.797101449291511e-05,5.797101449292333e-05,5.797101449288854e-05,5.797101449293497e-05,5.7971014492914184e-05,5.797101449291357e-05,5.797101449294359e-05,5.797101449289361e-05,0.7810048832655424,5.797101449289846e-05,5.7971014492925385e-05,5.7971014492938504e-05
S24_2013_11812815,5.073566717441045e-05,5.0735667174448894e-05,0.0838785007948375,5.073566717443327e-05,5.073566717444935e-05,5.0735667174439564e-05,5.0735667174439984e-05,0.18222037172272226,0.010961080533332513,5.073566717447433e-05,5.0735667174455766e-05,5.073566717445154e-05,5.073566717445275e-05,5.073566717447055e-05,5.073566717443333e-05,5.0735667174435044e-05,5.073566717447341e-05,5.0735667174447004e-05,5.0735667174443365e-05,5.073566717443316e-05,5.073566717441263e-05,5.073566717443992e-05,0.45448959683829016,0.07427273839805769,5.0735667174426905e-05,5.073566717450541e-05,5.073566717448187e-05,5.073566717442603e-05,5.0735667174447356e-05,0.19296005570057295
