,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
S24_2013_11735526,0.00020080321727029745,0.0002008032192023743,0.00020080321657481553,0.15829073630851534,0.00020080321813793718,0.0002008032174024686,0.02508787480136137,0.00020080321640882084,0.057768772011464235,0.5412587005913906,0.0002008032184199292,0.00020080321570291128,0.00020080321606098366,0.00020080321536770798,0.00020080321681058025,0.00020080321711806614,0.050331305582473077,0.0002008032194758354,0.1644513656641195,0.00020080321672320833
S24_2013_10819863,0.00020576132068375675,0.00020576131938348374,0.00020576132197963574,0.08271292347954601,0.000205761319821234,0.00020576132238601694,0.00020576132328539758,0.00020576132184741856,0.2116799800168529,0.1561987317021274,0.00020576132005301333,0.00020576131921783174,0.00020576132158916133,0.02587414999090922,0.30807556626252114,0.00020576132120579978,0.2125779900526033,0.00020576131912426992,0.0002057613227181799,0.00020576132214485473
S24_2013_11445294,0.00015822785057926754,0.0001582278498599406,0.00015822785198629135,0.00015822785035045158,0.0001582278512730263,0.00015822785106605402,0.00015822784961769585,0.00015822785141130242,0.024572087175195025,0.00015822785260060363,0.0001582278504644251,0.00015822785034156202,0.00015822785130945754,0.00015822785056053307,0.0001582278527666146,0.0001582278505773209,0.9725798115056772,0.00015822785241079843,0.00015822785138631514,0.00015822785056609755
S24_2013_11532605,0.00010000000191393298,0.00010000000169182705,0.00010000000194746024,0.00010000000336176893,0.012736900834277263,0.6486011816928619,0.04207965979533909,0.026030858115499145,0.13745876560676443,0.024081464159370996,0.00010000000222112238,0.0001000000020996168,0.00010000000220944295,0.00010000000181266743,0.00010000000178207808,0.00010000000200159288,0.044286196354242295,0.00010000000113340104,0.0635249734173591,0.00010000000211080837
S24_2013_11584832,7.163323912257777e-05,7.163323963751277e-05,7.163323889628582e-05,7.163323934744088e-05,7.163323938504697e-05,0.018759467617403595,7.163323888663406e-05,7.163323901508544e-05,7.163323924674704e-05,0.18285216653351058,7.163323943579558e-05,7.163324052114628e-05,0.6328142259788699,7.163323878081616e-05,7.163323949134929e-05,7.1633238986806e-05,0.1152806377258457,7.163324088339726e-05,7.163323940181684e-05,0.04921900355333167
S24_2013_11947106,8.474576517597388e-05,8.474576363377412e-05,8.474576414138576e-05,8.474576431899459e-05,8.474576442404021e-05,0.3627195877503625,8.47457637775884e-05,8.474576446512396e-05,0.0930181879944235,0.07829638906424385,0.3040754862104021,8.474576376421022e-05,8.474576413288155e-05,8.47457636628538e-05,8.47457644360611e-05,8.474576485234439e-05,0.10169563813870262,8.474576433831714e-05,0.05900827014198509,8.474576475686449e-05
S24_2013_11191735,0.14593562482917563,0.0001792114716072907,0.00017921147284926636,0.0001792114729175113,0.0001792114721114544,0.00017921147238442113,0.00017921148048639793,0.0001792114729905451,0.2569495735083118,0.12543464426517864,0.2202224079726942,0.00017921147225989412,0.1259696962460051,0.00017921147145189757,0.12297909255477493,0.00017921147448847615,0.00017921147355634797,0.00017921147126748023,0.00017921147347221887,0.00017921147201629427
S24_2013_11831038,0.00020161290710462258,0.0002016129051825782,0.0002016129084439105,0.00020161290728053024,0.00020161290692243005,0.00020161290583908535,0.0002016129078825019,0.0002016129077212904,0.1079825454036756,0.00020161290735945148,0.0002016129069424683,0.00020161290523679234,0.23550177865948252,0.0002016129061368673,0.23755353338009164,0.4157363360480793,0.00020161290729915992,0.00020161290474020657,0.00020161290724825053,0.00020161290733074495
S24_2013_11256816,9.057971174559414e-05,9.057971137500353e-05,9.057971215893066e-05,9.057971166572093e-05,0.032397518010840336,9.057971155133432e-05,9.057971276946026e-05,0.14406879237237907,9.05797119636901e-05,0.7692907170844787,9.057971123422325e-05,9.057971108897511e-05,9.057971202469523e-05,9.057971263505183e-05,9.057971243209971e-05,9.057971186448908e-05,0.0527936971434222,9.057971087205985e-05,9.057971190020383e-05,9.057971159820422e-05
S24_2013_11179684,0.00012285012466148136,0.0001228501243986577,0.00012285012566344274,0.00012285012445772164,0.00012285012473361865,0.00012285012435822758,0.00012285012561383534,0.0001228501260878824,0.00012285012481334846,0.7294146380578024,0.00012285012459160386,0.00012285012393070782,0.00012285012479493136,0.039420064518757035,0.00012285012544098998,0.0001228501259811002,0.12717992518886648,0.00012285012381591597,0.00012285012509330884,0.10201977023613747
S24_2013_11620754,0.00011737089459217769,0.00011737089385450633,0.3034957571535322,0.00011737089392837876,0.00011737089436108676,0.00011737089441254846,0.00011737089393816387,0.00011737089527373246,0.16417185175401566,0.00011737089473220393,0.00011737089468485178,0.00011737089367719648,0.40154725503339506,0.00011737089366997844,0.11241501011833824,0.00011737089520987739,0.00011737089513128571,0.00011737089334474118,0.01660956252637616,0.00011737089353170674
S24_2013_11947552,8.695652383292068e-05,8.69565242664892e-05,8.695652384977115e-05,8.695652486106155e-05,8.695652329266435e-05,8.695652362008543e-05,8.69565233178087e-05,0.18537370859321925,0.04444782404498931,0.046267647941613955,0.014484669554183822,8.695652360847265e-05,8.695652423645408e-05,0.1625313702378897,8.695652408102533e-05,8.695652394701499e-05,0.009310279151121948,8.695652256975076e-05,0.1258776995608565,0.4106633226306418
S24_2013_11812815,0.01571911430220765,7.610350203804018e-05,7.610350201749676e-05,0.046029199070365394,0.01618760442505392,7.610350209385927e-05,7.610350221103988e-05,0.04342730480686072,0.01544802416470359,0.03924340682508274,7.610350210305251e-05,7.610350183524305e-05,0.8128857306591492,7.610350205827905e-05,7.610350232161039e-05,7.610350252751128e-05,7.61035023822181e-05,7.610350649213044e-05,0.010146373715589829,7.610350290672805e-05
S24_2013_11594670,0.00021739131000897386,0.0002173913102312836,0.00021739130922329057,0.00021739130866397819,0.6170819274597539,0.10998362257655883,0.0002173913093104621,0.00021739130972677295,0.00021739130970202473,0.1599758462096771,0.00021739131026356668,0.00021739130994345994,0.10948034280343735,0.00021739131071440643,0.0002173913087428023,0.00021739130924716742,0.00021739130906744386,0.0002173913071970034,0.00021739131027332027,0.00021739130825687737
S24_2013_11742593,9.22509244167882e-05,0.3232441457395149,0.1901229093102095,9.225092370102952e-05,9.225092401151787e-05,9.225092460635008e-05,9.225092447970842e-05,0.0885097249216991,9.225092413879158e-05,9.225092431379028e-05,9.22509244024813e-05,0.2640500295933407,9.225092396719494e-05,0.026602264254302135,9.225092394408596e-05,9.225092436786278e-05,0.08265551294832815,9.225092356128948e-05,0.023616151218635254,9.225092405926812e-05
S24_2013_11161117,8.090615041901344e-05,8.090614973344716e-05,0.05737811469372181,8.090615077181661e-05,8.090615111761377e-05,8.090615130521396e-05,8.090615063460246e-05,8.090615102268103e-05,0.29789381778657237,0.11843960976500904,8.090615018024971e-05,8.090614952681435e-05,8.090615031170744e-05,8.090615049614468e-05,8.090615119412817e-05,8.090615085861205e-05,0.4475664202738783,8.090614992248564e-05,0.07750844522250758,8.090615081636053e-05
S24_2013_11180865,0.00010570824736153016,0.00010570824634818314,0.0001057082471150514,0.0001057082476023038,0.00010570824700577129,0.628840610399471,0.000105708247106839,0.00010570824798562602,0.0001057082474172648,0.04555068352282123,0.00010570824743551916,0.00010570824672226532,0.00010570824693820693,0.00010570824712306775,0.00010570824747759434,0.00010570824716043377,0.00010570824762609764,0.00010570824720632164,0.32381166587481613,0.00010570824725938422
S24_2013_11832809,0.050916913448964034,0.00018656716646348718,0.0675810171043886,0.00018656716822930446,0.00018656716635272636,0.0001865671666723519,0.00018656716606315892,0.00018656716891673716,0.10695472245870005,0.5079781617651459,0.00018656716822974576,0.00018656716866047678,0.000186567167233203,0.00018656716603093358,0.01856408032465543,0.0001865671694618941,0.2453931645519456,0.0001865671670458536,0.00018656716875546726,0.0001865671680852016
S24_2013_11860237,0.00011600928374330726,0.00011600928292356955,0.051622723784949955,0.00011600928279441806,0.00011600928298834952,0.07877297838486558,0.00011600928224981076,0.13426639526155287,0.36095437670579,0.04839597216139293,0.00011600928294785438,0.00011600928217574381,0.00011600928374505875,0.00011600928471270963,0.00011600928407146844,0.00011600928364545126,0.32436342373771826,0.0001160092817969324,0.00011600928331797319,0.0001160092826179238
S24_2013_11802041,0.00019379845310361937,0.00019379845215383455,0.00019379845229866417,0.00019379845421766732,0.00019379845192527549,0.00019379845371060776,0.00019379845301822378,0.00019379845411388356,0.11494242872029407,0.6533418592994246,0.030868068558384032,0.00019379845221842635,0.0001937984526916672,0.00019379845229163483,0.00019379845347388427,0.02796806205744882,0.00019379845485115527,0.00019379845148508916,0.16997260456986302,0.0001937984530318772
S24_2013_1290513,0.00020080321771229673,0.00020080321546498824,0.0002008032176884609,0.10437835453221055,0.00020080321595246944,0.00020080321606753625,0.00020080321589052667,0.00020080321695199564,0.35388489237202964,0.03135320248321913,0.00020080321635928386,0.00020080321479484065,0.0002008032160778795,0.00020080321718239183,0.00020080321626514443,0.04307499254054842,0.44537341512794193,0.00020080321629961716,0.00020080321772437664,0.01912389791361863
S24_2013_11478992,8.787346390002514e-05,8.787346326529988e-05,8.787346438424971e-05,8.787346387922811e-05,8.787346408445456e-05,8.787346360825635e-05,8.787346368238282e-05,0.13352691197119315,8.787346474342818e-05,0.8566954283201109,8.78734637920222e-05,8.787346313114951e-05,8.78734637936868e-05,0.008283810819673759,8.787346439011473e-05,8.787346369971165e-05,8.78734644504103e-05,8.787346576604835e-05,8.787346454864764e-05,8.78734639028142e-05
