,0,1,2,3,4,5,6,7,8,9
,72161.68025256316,0.10000121491322318,0.10000000092949608,78142.47625191156,0.10000830374932757,109032.99770595966,11.840119535969517,0.10000000092949608,143510.6888703357,33648.916790172894
april,18.044487942573696,0.10000000109840183,0.10000000115182604,95.66205955351641,0.10001343304076332,65.06331562216846,0.10000563420528956,0.10000000115182604,14.676708243451648,10.053409567116292
19,2.341436648368943,0.10000000056197002,0.10000000058921833,0.8185901837619098,0.10000071590221306,12.81829425154901,0.10000102069700838,0.10000000058921833,413.7892393636214,49.73243781387591
2012,33.07646679852535,0.10000582305316054,0.10000000124551844,112.84430455448431,0.10003112889370151,40.28799624415443,0.10000544997069137,0.10000000124551844,799.2324776875696,171.05871231038046
tip,106.82082199936909,0.10001179403018767,0.10000000148653622,10.046462179868973,0.1000271989595142,4.079672017577456,0.10003467259595276,0.10000000148653622,39.45293140654711,0.10003872754512182
from,1757.2739552586474,0.10000151805392686,0.10000000099822107,1827.0346481553415,0.10000777529636948,2384.2172309399393,0.10002497608339678,0.10000000099822107,2070.319062413715,659.6550689604114
the,24465.400865775722,0.10000133563818492,0.10000000099762739,22295.201678925558,0.10001030000286516,34908.655066382235,2.8030213800866033,0.10000000099762739,21592.418947689177,9016.12040820906
lord,0.10000783255255442,0.1000000006467937,0.10000000067822681,54.81577096193855,0.10000071576323905,273.0428676078732,0.10000097504336466,0.10000000067822681,33.4413461299989,0.1000057744224494
of,9986.838679728507,0.10000165115281695,0.10000000099973912,11051.372259705684,0.10001312316607741,18501.69858570468,0.10001561304283219,0.10000000099973912,8551.657244367636,6020.933200103629
darkness,0.6780887176405539,0.10000000119144066,0.10000000124944085,22.850004387868342,0.10000000091002004,24.056687283024235,0.10000194125368152,0.10000000124944085,15.815215523322028,0.10000214174359252
-,309.98116548141536,0.1000000010057515,0.10000000105467369,292.866028412936,0.10000645623158014,236.88706644773274,0.10004140672794996,0.10000000105467369,1854.7344379360607,205.03125385527227
have,3502.737101603828,0.1000022195998332,0.10000000102304858,3146.493439096876,0.10000927890409597,5722.200102969098,0.10002288581223623,0.10000000102304858,10081.574188140114,991.4951338032108
send,71.17584316892706,0.1000083480392289,0.10000000108494889,77.96874455791416,0.10000446393720303,145.4098547725985,0.10004097480994308,0.10000000108494889,175.6724418014612,58.273061909626385
me,2.039983649807366,0.1000006193166025,0.10000000067952446,22.641172100088717,0.10000254368927466,284.07710453650674,0.10000395516236112,0.10000000067952446,3102.641715268162,0.10001732547190363
these,549.9895319865753,0.10000425739127938,0.10000000088414679,457.0682901228053,0.1000024872192647,772.6725776709211,0.1000126590267606,0.10000000088414679,534.4767172207609,357.29286359301767
three,196.47700719768224,0.10000476326740945,0.10000000106127413,308.5268508953626,0.10001219566460547,184.04952137529426,0.10002487609688725,0.10000000106127413,165.65254771666332,26.79403097733183
one,1010.7752536463724,0.10000169582508535,0.10000000091174317,1419.2473452962756,0.10000550476430564,1600.9736505480976,0.10002579654430979,0.10000000091174317,2212.98743549054,161.51628201924106
food,420.32129911844254,0.10000000089890497,0.10000000094266821,167.32291663443283,0.10000000068655582,27.7647349147997,0.10000570722206302,0.10000000094266821,142.64170166282037,0.44934195829777146
planet,80.41973916522552,0.10000000109193583,0.10000000114509718,14.493711413643886,0.10000000083448263,8.592784760240733,0.10000215657215444,0.10000000114509718,17.893749677159555,0.10001282244433969
be,15156.82970644707,0.10000165283147405,0.10000000097045422,11922.385471519143,0.10000691434188669,19956.344901861085,0.10001737946046285,0.10000000097045422,30418.57393593732,4552.365958286295
a,11901.592686980563,0.10000095037455135,0.10000000102128487,7161.715621925776,0.10000768169799253,9138.470767709025,0.10001481750245297,0.10000000102128487,16352.217405581994,4595.503494350502
cool,54.47617241358237,0.10000000085709398,0.1000000008986968,20.302678383732943,0.10000171894740806,0.10005455386555621,11.056632252977247,0.1000000008986968,75.56444882444447,0.10001184935244797
place,335.9106454697172,0.1000022910449795,0.10000000106590949,402.64384868975964,0.100001675815502,307.2900253273873,0.10006536826320954,0.10000000106590949,444.01142443053044,13.643986744831365
to,11256.327209815528,0.10000090101304508,0.10000000100507538,6979.03628255438,0.10000901673410725,13972.075957960802,189.32926446039602,0.10000000100507538,18312.47671037944,5123.35456490917
chill,4.699457357439198,0.10000000124385826,0.1000000013044271,0.10001329329328817,0.10000000095002559,0.10002189581005705,0.10000000044095052,0.1000000013044271,12.500493358698055,0.10001408908947201
out,651.2357956396356,0.10000000104324228,0.10000000109389953,299.1673655623444,0.1000085271049211,534.1501131055475,0.10003769888142218,0.10000000109389953,2245.949750069974,64.99692939276667
and,9234.81159630491,0.10000154405310552,0.10000000101073749,10054.417685375876,0.10000976330064697,13545.887507781912,1.984533374573361,0.10000000101073749,16219.457690671985,4646.040975180857
enjoy,65.32984123671707,0.10000000123398538,0.10000000129402552,89.72095370028526,0.10001614643561522,13.352304389164006,0.1000162486216921,0.10000000129402552,191.99685081139015,0.10001746307357115
smell,15.910264918306229,0.10000000075532278,0.10000000079208378,9.80383967356373,0.10000015259559422,2.924303488798137,0.10000086259874405,0.10000000079208378,76.76158424569901,0.10000665561333572
chocolate,25.55420779210493,0.10000000102960974,0.10000000107974817,0.10007989826076467,0.10000000078624698,0.10000906835411442,0.1000000003647312,0.10000000107974817,43.645673580969856,0.10002965556887158
but,1170.6879767292335,0.10000300992236959,0.10000000091993591,648.4378852105204,0.10000218533359331,1872.5285767883724,0.10001904054598566,0.10000000091993591,4440.884590286687,79.96094674703455
