,0,1,2,3,4,5,6,7,8,9,10,11,12
S24_2013_11735526,0.0003101788804983426,0.6410407107726404,0.00031017860453888036,0.0003101779281818936,0.1187498470579833,0.00031017942525990574,0.20394609776328335,0.0110604463837211,0.0003101763171334595,0.00031017939400775876,0.00031017847017408487,0.02272146971526965,0.00031017928730790045
S24_2013_10819863,0.0003165603166740502,0.2901929391035931,0.00031655920789145373,0.38718651189986975,0.0003165694662894187,0.0003165632403171758,0.00031655957715357786,0.21666717858578521,0.0003165690708274323,0.0003165623901596597,0.08925268254949581,0.01416818421435074,0.0003165603775927184
S24_2013_11445294,0.00024343019309319645,0.4240853906156708,0.00024343030400168143,0.0002434311171683477,0.00024343042465906339,0.3137924853802962,0.0002434300149723747,0.0002434313968383182,0.00024343101906242596,0.0508430393384781,0.1762253606444876,0.00024343054019499463,0.03310627901107694
S24_2013_11532605,0.00015384882896975433,0.00015384922943954363,0.0001538479552569393,0.00015384871211652397,0.9981538164957748,0.00015384855306496624,0.0001538492266119178,0.00015384888190865396,0.0001538472080628645,0.00015384889929315174,0.0001538490581959455,0.00015384856684216264,0.0001538483844628164
S24_2013_11584832,0.00011132373639057977,0.22678183038015481,0.00011132348730507688,0.7719936133785421,0.00011132356986136151,0.00011132297603947396,0.0001113233845851092,0.00011132327465264988,0.00011132210862699178,0.00011132277061292098,0.00011132376297569092,0.00011132308243280817,0.00011132408782060358
S24_2013_11947106,0.045318507634255295,0.11553211859170529,0.00013037960123636242,0.00013038007036544113,0.6201024079762498,0.04823738731460468,0.03770953194549259,0.03760414567641486,0.00013038060578089044,0.01889713532072839,0.0759468659077244,0.00013037960148680353,0.00013037975395502327
S24_2013_11191735,0.26091899058680174,0.1426184750703064,0.0002767045735497248,0.23955260629958847,0.000276705256028024,0.0002767056430084018,0.23935351854993028,0.00027670550757677876,0.0002767039628065669,0.031517632081490506,0.08410184230057327,0.0002767054017111564,0.00027670476662870785
S24_2013_11831038,0.00031017782373839024,0.00031017966194083797,0.04368019140579644,0.801977918342347,0.00031017755569222734,0.00031017909441357857,0.00031017798448696013,0.003815368525940951,0.00031017908305518843,0.14773491347237358,0.0003101793389115876,0.00031017887246148374,0.00031017883884179186
S24_2013_11256816,0.0001403722650724668,0.6602252290710533,0.021852735281506434,0.015356027448402648,0.00014037255243608545,0.014792015695645661,0.00014037255155509006,0.055307857924382677,0.0001403715671892609,0.00014037296767304149,0.23148352725750387,0.00014037305909143778,0.0001403723584880265
S24_2013_11179684,0.00019040585261818706,0.5718640383148383,0.00019040704387764828,0.00019040589787846382,0.00019040558979173942,0.00019040624806964152,0.00019040575215440006,0.00019040627734789395,0.00019040515477746034,0.00019040671464261896,0.42604149503280236,0.00019040673085651073,0.00019040539034485978
S24_2013_11620754,0.02862445052541637,0.0001805736630459209,0.0001805736997545853,0.6230654879845808,0.00018057306914083572,0.042553873277176926,0.008150211168841735,0.00018057349403714356,0.00018057360534841756,0.22221281376345445,0.07412915042048335,0.0001805727912713976,0.00018057253744802626
S24_2013_11947552,0.12133717450977614,0.0001337813345233372,0.00013378120371319345,0.0001337818071160036,0.175354515516559,0.00013378104722139227,0.0001337815751408344,0.0001337810064058931,0.00013378007284593974,0.0001337813970606965,0.7019704985184521,0.00013378136837646247,0.0001337806428090132
S24_2013_11812815,0.00011708430369940345,0.00011708434454254167,0.12528739085663412,0.8319068639536811,0.00011708393148701051,0.00011708364646261733,0.00011708458748163573,0.00011708360638397297,0.0028275094659719227,0.0001170835982189758,0.00011708392879361234,0.03892447941446292,0.00011708436218012177
