,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
S24_2013_11735526,0.0001606425703081241,0.09144842837456943,0.0001606425703176885,0.00016064257037822472,0.0001606425703098177,0.43249948474186534,0.00016064257030762115,0.04925238194383849,0.00016064257032234307,0.00016064257030989,0.06982062531318069,0.09114212113549243,0.14423758790139785,0.00016064257030403074,0.0001606425703067803,0.000160642570313151,0.00016064257030969632,0.00016064257031305713,0.00016064257029681236,0.02827775025283572,0.00016064257029244216,0.00016064257034509245,0.00016064257030814775,0.00016064257031642742,0.09059069664146065
S24_2013_10819863,0.00016460905352775755,0.00016460905352926638,0.11188366325856754,0.00016460905351943495,0.00016460905352637484,0.22925200146230001,0.0001646090535441631,0.06278813552312597,0.30221927325367687,0.00016460905353142685,0.00016460905353143625,0.0001646090535428561,0.00016460905354111688,0.00016460905352950716,0.23781790160272565,0.00016460905354209927,0.00016460905354333353,0.00016460905354014044,0.05291145288250641,0.0001646090535211011,0.00016460905350828352,0.0001646090535331959,0.00016460905352775379,0.00016460905353374248,0.00016460905352450988
S24_2013_11445294,0.0001265822784952397,0.00012658227850049857,0.00012658227850569973,0.00012658227849356258,0.00012658227849900107,0.5932867187160067,0.0001265822785071232,0.05473866681669545,0.00012658227850968488,0.0001265822785078639,0.08423010758922221,0.00012658227850391505,0.0001265822784988818,0.00012658227849461789,0.0001265822785084844,0.00012658227850271338,0.0001265822785016917,0.0001265822785030054,0.018075151902650615,0.00012658227849010113,0.00012658227849566194,0.00012658227850575316,0.00012658227850349422,0.24713770940540192,0.00012658227849598414
S24_2013_11532605,0.021258942253054393,0.022840123771244957,0.033159675217469306,8.000000001549049e-05,0.011359831472277742,0.07749907006831427,8.000000001145135e-05,8.000000001963031e-05,8.000000001748634e-05,8.000000001435677e-05,8.000000001075287e-05,8.00000000158167e-05,8.000000001515898e-05,8.000000001738656e-05,8.000000001132337e-05,8.000000000955391e-05,8.000000001904224e-05,0.7492301128933251,8.000000000804686e-05,8.000000001110047e-05,8.000000000517934e-05,8.000000001861433e-05,0.01974853379256867,0.038816486527484824,0.02480722400404025
S24_2013_11584832,5.730659026761714e-05,5.730659026965537e-05,5.730659026944329e-05,5.7306590271512505e-05,5.730659027056743e-05,0.08513274147056342,5.7306590265998504e-05,5.730659026714108e-05,5.7306590268923715e-05,5.7306590267802555e-05,0.049279375093594265,0.18704789666831054,0.1115512291562552,0.5422213459467078,5.730659026744904e-05,5.7306590268786137e-05,0.023678586449480912,5.730659027033291e-05,5.730659026186525e-05,5.7306590264369314e-05,5.730659026414148e-05,5.730659027146538e-05,5.7306590265612995e-05,5.7306590267067805e-05,5.7306590267996695e-05
S24_2013_11947106,0.11651897862657162,6.779661018248234e-05,0.07912597394678964,6.779661017932872e-05,6.779661018072811e-05,0.12490286650815342,6.779661018287122e-05,6.779661018437496e-05,0.07537637274483412,6.779661018198792e-05,6.779661018880531e-05,6.779661018181854e-05,6.779661018764053e-05,6.77966101781365e-05,6.779661018129395e-05,6.77966101799085e-05,6.779661018096526e-05,0.4646265841146314,6.77966101886846e-05,6.779661018740586e-05,6.77966101746436e-05,0.028763572106792187,6.779661018203859e-05,6.779661018636778e-05,0.10946531296893812
S24_2013_11191735,0.00014336917565829776,0.0001433691756583919,0.6815508865013118,0.00014336917564882742,0.00014336917564680747,0.1872691669138703,0.00014336917566594592,0.00014336917564845272,0.00014336917565484726,0.00014336917565436648,0.00014336917565101849,0.03780437204901044,0.00014336917566520917,0.00014336917565368435,0.0001433691756615167,0.00014336917565087778,0.00014336917564767212,0.0001433691756499346,0.00014336917564644925,0.00014336917564683284,0.00014336917563788796,0.00014336917565170788,0.0903648218471085,0.0001433691756509033,0.00014336917564945664
S24_2013_11831038,0.00016129032260590512,0.0001612903226066734,0.00016129032261496688,0.0001612903226088649,0.00016129032260123131,0.00016129032260672155,0.00016129032261032273,0.0001612903226056091,0.7061184746774124,0.0001612903226133606,0.00016129032260666875,0.00016129032260193426,0.00016129032260616132,0.00016129032261985363,0.2901718479026496,0.00016129032262619236,0.00016129032259613865,0.00016129032260058182,0.00016129032259114083,0.0001612903226115105,0.00016129032259059166,0.0001612903226045914,0.00016129032259627396,0.0001612903226062308,0.00016129032260627516
S24_2013_11256816,7.246376812577407e-05,0.0041117621945450005,7.246376812757225e-05,7.246376812463593e-05,7.246376812870099e-05,0.6055946370567827,7.246376812896107e-05,7.246376813098911e-05,0.3286709409492407,7.246376812860236e-05,7.246376814173035e-05,7.246376812563837e-05,7.246376812842525e-05,7.246376812715238e-05,0.02883987716727211,7.24637681311179e-05,0.03133350726959994,7.246376812533191e-05,7.246376812234327e-05,7.246376812553514e-05,7.246376812294765e-05,7.246376813331794e-05,7.246376812677398e-05,7.246376812763217e-05,7.246376812633184e-05
S24_2013_11179684,9.828009829537996e-05,9.82800982928963e-05,9.828009829211171e-05,9.82800982904687e-05,9.828009829452274e-05,0.767409835958669,9.828009829312712e-05,0.018788259154922205,9.828009829471986e-05,0.21163974272396302,9.828009829239213e-05,9.82800982902813e-05,9.828009829485552e-05,9.828009829103795e-05,9.82800982960005e-05,9.828009829814283e-05,9.82800982970973e-05,9.828009829053545e-05,9.828009828957516e-05,9.828009829120262e-05,9.828009828443978e-05,9.82800982982649e-05,9.828009829405383e-05,9.828009829358868e-05,9.828009829110723e-05
S24_2013_11620754,0.03548725701916031,9.389671363246106e-05,0.3129970658014059,0.0046576799307999,0.006632957605474224,9.3896713632675e-05,9.38967136364777e-05,9.389671362980874e-05,0.007413753746107745,0.04674575216480307,9.389671362943737e-05,9.389671362997975e-05,9.389671362861819e-05,0.1460862737223963,0.4322145676812808,9.389671363523215e-05,9.3896713634233e-05,9.389671363052744e-05,9.389671362222624e-05,9.389671362740288e-05,9.38967136233556e-05,0.006262344910473612,9.389671364160323e-05,9.389671363431655e-05,9.38967136296969e-05
S24_2013_11947552,0.12157439432442844,6.956521740513751e-05,0.006015183064326197,6.95652174117643e-05,6.956521740171789e-05,6.956521740355022e-05,6.956521740012117e-05,0.1800925558553848,0.6527690676994976,6.956521740396884e-05,6.956521740092618e-05,6.956521739975517e-05,6.956521740341306e-05,6.956521740578794e-05,6.956521740375746e-05,6.956521740237909e-05,0.03815749470829643,6.956521740565893e-05,6.956521739786835e-05,6.956521740001589e-05,6.956521740661889e-05,6.956521740435514e-05,6.956521740261532e-05,6.95652174006972e-05,6.956521740627143e-05
S24_2013_11812815,6.088280061923908e-05,0.004801776851523415,6.088280061737998e-05,6.0882800618575875e-05,6.088280061612433e-05,0.017453990996512698,6.088280061537412e-05,6.088280061880977e-05,6.0882800621115585e-05,6.08828006185854e-05,6.0882800622351514e-05,6.0882800617113354e-05,6.088280062031328e-05,0.9248702912190366,6.0882800619718204e-05,6.088280061801467e-05,6.0882800616489416e-05,6.088280061691553e-05,6.0882800637847664e-05,0.05159540211993145,6.088280061303499e-05,6.088280061761607e-05,6.088280061703969e-05,6.088280061591641e-05,6.088280061806226e-05
