,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1719250,0.00015151515151562263,0.0001515151515154022,0.0001515151515154244,0.0001515151515156307,0.0001515151515154022,0.00015151515151540226,0.004507095834000435,0.1072706396645428,0.0001515151515154022,0.0001515151515154022,0.0001515151515154022,0.0001515151515155858,0.0001515151515154022,0.0001515151515155557,0.09394423350728152,0.0001515151515154022,0.00015151515151549767,0.00015151515151564827,0.0001515151515156141,0.0001515151515154022,0.11475968317117922,0.0001515151515154022,0.5441438495386516,0.0001515151515154022,0.0001515151515154022,0.00015151515151557262,0.0001515151515154022,0.13173813464797307,0.0001515151515156294,0.0001515151515154022
1719251,0.00015503875969043326,0.00015503875969016654,0.0001550387596901972,0.0001550387596903976,0.00015503875969016654,0.00015503875969016877,0.017138801435565468,0.04287305933686533,0.00015503875969016654,0.00015503875969016654,0.00015503875969016654,0.00015503875969032413,0.00015503875969016654,0.00015503875969018655,0.1529865693458261,0.00015503875969016654,0.00015503875969027605,0.0001550387596904007,0.00015503875969040718,0.00015503875969016654,0.15128878384410954,0.00015503875969016654,0.6318368170453773,0.00015503875969016654,0.00015503875969016654,0.0001550387596903687,0.00015503875969016654,0.00015503875969041146,0.00015503875969036216,0.00015503875969016654
1719252,0.00019267822736095266,0.00019267822736065903,0.00019267822736067838,0.0001926782273609301,0.00019267822736065903,0.00019267822736100397,0.00019267822736129174,0.4856383063182632,0.00019267822736065973,0.00019267822736065903,0.00019267822736065903,0.0001926782273609132,0.00019267822736065903,0.00019267822736065903,0.00019267822736097944,0.00019267822736067743,0.00019267822736087682,0.00019267822736095008,0.00019267822736093577,0.00019267822736065903,0.08594595623854386,0.00019267822736065903,0.3651508978853484,0.00019267822736065903,0.00019267822736065903,0.00019267822736092983,0.00019267822736094696,0.058255205646463595,0.00019267822736092634,0.00019267822736065903
1721352,5.208333333358379e-05,5.208333333350117e-05,5.2083333333522e-05,0.2951476857456861,5.208333333350117e-05,5.208333333350463e-05,5.208333333352249e-05,0.2375171003709058,5.2083333333505745e-05,5.208333333350117e-05,5.208333333350117e-05,5.208333333355567e-05,5.208333333350117e-05,5.208333333350612e-05,5.208333333356024e-05,5.2083333333504946e-05,5.208333333354033e-05,5.208333333356975e-05,5.2083333333567e-05,5.208333333350117e-05,5.208333333355556e-05,5.208333333350117e-05,0.25937891356292275,5.208333333350117e-05,5.208333333350117e-05,5.208333333358339e-05,5.208333333350117e-05,0.20660213365381355,5.208333333358247e-05,5.208333333350117e-05
1724351,1.1642798928902362e-05,1.1642798928884297e-05,1.1642798928887095e-05,1.1642798928898835e-05,1.1642798928884297e-05,1.1642798928886094e-05,1.1642798928899718e-05,1.1642798928902342e-05,1.1642798928885418e-05,1.1642798928884867e-05,1.1642798928884297e-05,1.1642798928900095e-05,1.1642798928884297e-05,1.1642798928885003e-05,0.7729916892331411,1.164279892888476e-05,1.164279892890472e-05,1.1642798928901959e-05,1.1642798928902342e-05,1.1642798928884297e-05,0.01864290813620984,1.1642798928884297e-05,1.1642798928902403e-05,1.1642798928884297e-05,1.1642798928884297e-05,1.164279892890005e-05,1.1642798928884366e-05,0.0831467854895331,0.12491590436896523,1.1642798928884297e-05
1733252,4.110152075651477e-05,4.1101520756447836e-05,4.110152075645216e-05,0.18181313218870454,4.1101520756447836e-05,0.0009336658286686708,4.110152075645685e-05,4.110152075652583e-05,4.110152075644819e-05,4.110152075645168e-05,4.1101520756447836e-05,4.110152075650161e-05,4.1101520756447836e-05,4.110152075645288e-05,0.01776127204332514,4.110152075644812e-05,4.1101520756508565e-05,0.33310572371774255,4.1101520756510876e-05,4.1101520756447836e-05,0.2428628183939536,4.1101520756447836e-05,0.18191828060520082,4.1101520756447836e-05,4.1101520756447836e-05,4.1101520756503625e-05,4.1101520756447836e-05,4.1101520756528325e-05,0.04065977224500617,4.1101520756447836e-05
1733350,4.967709885774642e-05,4.967709885767369e-05,4.967709885768739e-05,4.967709885775689e-05,4.967709885767369e-05,4.967709885768174e-05,4.967709885771586e-05,4.96770988577568e-05,4.967709885767728e-05,4.967709885767584e-05,4.967709885767369e-05,0.00511390817237631,4.967709885767369e-05,4.967709885767535e-05,0.1008782360455651,4.9677098857674446e-05,4.967709885770783e-05,0.1612044483612559,0.1483401179867035,4.967709885767369e-05,0.349288458489076,4.967709885767369e-05,0.017047355436687412,4.967709885767369e-05,4.967709885767369e-05,0.030875451794943908,4.967709885768793e-05,0.05545636333942343,0.1307524412979572,4.967709885767369e-05
1734751,4.070004070021044e-05,4.07000407001459e-05,4.0700040700249066e-05,4.0700040700210285e-05,4.07000407001459e-05,4.070004070014787e-05,4.070004070018583e-05,4.070004070021501e-05,4.07000407001481e-05,4.070004070014692e-05,4.07000407001459e-05,4.070004070020592e-05,4.07000407001459e-05,4.0700040700147855e-05,0.46857472826338153,4.070004070014757e-05,4.070004070018473e-05,0.11975911743007155,4.0700040700211125e-05,4.07000407001459e-05,0.18345972336279334,4.07000407001459e-05,0.2271482298855492,4.07000407001459e-05,4.07000407001459e-05,4.070004070020022e-05,4.070004070015419e-05,4.0700040700212e-05,4.070004070020237e-05,4.07000407001459e-05
1738751,0.00018115942029050495,0.00018115942029022574,0.00018115942029024842,0.0001811594202905323,0.00018115942029022574,0.00018115942029027865,0.00018115942029024466,0.00018115942029054148,0.00018115942029023455,0.00018115942029022574,0.00018115942029022574,0.00018115942029043816,0.00018115942029022574,0.00018115942029022574,0.2815241827676275,0.00018115942029026292,0.00018115942029032356,0.0001811594202905067,0.713403353464243,0.00018115942029022574,0.00018115942029057395,0.00018115942029022574,0.000181159420290551,0.00018115942029022574,0.00018115942029022574,0.00018115942029047884,0.00018115942029026902,0.00018115942029059363,0.00018115942029049847,0.00018115942029022574
1740350,0.000343642611685253,0.0003436426116845247,0.0003436426116845371,0.0003436426116851008,0.0003436426116845247,0.011657449455373402,0.00034364261168453805,0.00034364261168516683,0.00034364261168455036,0.0003436426116845247,0.0003436426116845247,0.0003436426116852011,0.0003436426116845247,0.0003436426116846598,0.135383724738559,0.0003436426116845247,0.0003436426116846796,0.00034364261168501683,0.203651559103447,0.0003436426116845247,0.0003436426116850145,0.0003436426116845247,0.0003436426116849814,0.0003436426116845247,0.0003436426116845247,0.18345453611109047,0.0003436426116845247,0.3433053685699427,0.11429993934115455,0.0003436426116845247
