,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
S24_2013_11735526,0.0002677382683365137,0.00026773810142648435,0.0002677378809256391,0.01096805560499897,0.00026773803426403974,0.00026773839896743185,0.05240211876598168,0.15105081277580984,0.07297162566631837,0.0002677383077084798,0.04812448522980336,0.00026773821111748504,0.00026773826819046875,0.02493401467161166,0.6374069818145396
S24_2013_10819863,0.00027434904737148907,0.0002743491880241487,0.0002743486439960392,0.017894393542556685,0.0002743492991639442,0.0002743491241105794,0.0002743491953477289,0.00027434913698421934,0.29667119983889634,0.00027434909519068147,0.0002743494621349037,0.02980213444420587,0.46322414465564166,0.00027434910320115824,0.18966463622317442
S24_2013_11445294,0.014448508295634693,0.00021097077231406385,0.00021097080181936055,0.00021097088471011652,0.02442446899312207,0.00021097095566690476,0.0002109708475995841,0.00021097080203816957,0.1855666519399782,0.058067428071369935,0.00021097084269014222,0.0002109707869534426,0.22836015044129915,0.00021097076936453225,0.4872340547954397
S24_2013_11532605,0.021123764435224398,0.00013333360452039616,0.0001333335134320624,0.00013333367896513741,0.00013333352903908258,0.00013333360632175197,0.0001333337133154158,0.2039011076139867,0.05851338163762124,0.00013333368014945511,0.7149950764049839,0.00013333355235942734,0.00013333366569628804,0.00013333365550937282,0.00013333370887530038
S24_2013_11584832,9.551120486152831e-05,0.008046468460696388,9.551111290780758e-05,0.019999782533027727,0.08651228440320365,9.551122354813378e-05,9.551118767128163e-05,9.551123330887603e-05,9.551122566069761e-05,9.551124326711319e-05,9.551127990894997e-05,9.551132580202895e-05,9.551128044608793e-05,0.6030844005332928,0.2814019517523969
S24_2013_11947106,0.00011299469959714887,0.00011299456759927499,0.00011299448279534649,0.00011299463181817303,0.0001129950706271583,0.0001129946729470375,0.019381419093513846,0.15540027161405534,0.09025740573720964,0.0001129945955646793,0.5350560737575529,0.0001129945697551406,0.058119725944433355,0.00011299456409590082,0.14076815199843506
S24_2013_11191735,0.01392641896210018,0.00023894936171008215,0.00023894897992079493,0.0002389492110535967,0.00023894983030925233,0.0002389492454136292,0.5215281360474983,0.00023894931919589917,0.00023894922044359157,0.00023894911788251415,0.0002389490757290279,0.00023894894287582636,0.27967494293617784,0.00023894921567192687,0.18224206053401779
S24_2013_11831038,0.00026881780513014883,0.21586002460812692,0.00026881757152262455,0.0002688177285831328,0.00026881749533079843,0.0002688177957284089,0.0002688176762061413,0.00026881779023924413,0.41902261111014755,0.00026881815504482375,0.0002688176521323476,0.0002688176704580156,0.36189155102993525,0.00026881804391992617,0.00026881786749461973
S24_2013_11256816,0.13630687864471724,0.00012077338631016733,0.00012077308465887406,0.00012077322377919854,0.00012077308408029721,0.00012077315746326728,0.00012077320187269387,0.00012077320392516052,0.09871209398367406,0.00012077325602057229,0.00012077325753364185,0.0001207731037729681,0.051204066016459,0.0001207732319177654,0.7124484561638151
S24_2013_11179684,0.2957123775524105,0.00016380055115816137,0.000163800275739823,0.00016380043911663931,0.00016380039121908696,0.00016380060732096763,0.0001638004616132689,0.00016380048824615487,0.00016380047298688097,0.03373431309177584,0.00016380040226118156,0.00016380030984473285,0.0001638004762084023,0.00016380046860377218,0.6685877040114947
S24_2013_11620754,0.00015649500348945044,0.07286890903892453,0.00015649479159813103,0.00015649500093510013,0.00015649471643334342,0.00015649492006479605,0.00015649491185975857,0.00015649492628333833,0.00015649491741895037,0.00015649509354745544,0.00015649489648740446,0.00015649482982424344,0.8424689273955386,0.08278422469457675,0.00015649486301805662
S24_2013_11947552,0.5111732806539754,0.0001159423343849477,0.00011594224838612483,0.0949517072876163,0.00011594217163718748,0.24151289660451092,0.00011594235420289687,0.1510867502344347,0.00011594229798963382,0.00011594229743430004,0.00011594230165875452,0.00011594221060622625,0.00011594238012532446,0.00011594231688132783,0.00011594230615559501
S24_2013_11812815,0.00010147164823960817,0.007077435291347847,0.00010147143540815169,0.010828605189912242,0.0013563005539081185,0.00010147156731320876,0.00010147152328895255,0.00010147159194845273,0.00010147151595245508,0.0001014715604088769,0.00010147152068974515,0.00010147150675940824,0.0001014716013718689,0.9796214718616778,0.00010147163177321456
S24_2013_11594670,0.16579590967519411,0.0002898558331506695,0.0002898553924101963,0.0002898556831152337,0.0002898553997626571,0.0002898557373331092,0.0002898560563862438,0.6417484238911764,0.00028985561697773805,0.0002898556916253933,0.00028985657467354607,0.0002898558212798171,0.0002898558325105758,0.18897739693351137,0.00028985586089294785
S24_2013_11742593,0.23847711808543107,0.00012300148457620988,0.24315027690010518,0.13464239817040505,0.00012300140207841255,0.00012300150859950927,0.00012300148607646125,0.007591124614448297,0.00012300144218633865,0.00012300152702962862,0.0001230014697133775,0.37490906742393976,0.00012300149219512778,0.00012300147865961178,0.0001230015145558725
S24_2013_11161117,0.04035629236089776,0.00010787510817908823,0.00010787495106980996,0.00010787505103342784,0.00010787509356730651,0.0001078751413210979,0.00010787504110023267,0.00010787509913674771,0.8732924370089891,0.00010787519586517959,0.0001078750751903674,0.0001078750932741725,0.01098738611573056,0.00010787505163872047,0.07417725861300616
S24_2013_11180865,0.023449843273033278,0.00014094461953577806,0.00014094449418690903,0.008261428966015802,0.00014094450807325705,0.031117709722317463,0.000140944775342838,0.3725868886912649,0.00014094469492688416,0.0001409446321027322,0.4712208085582084,0.00014094454961409637,0.0001409446351896582,0.00014094475310137886,0.09209481912708667
S24_2013_11832809,0.00024875666731209527,0.0002487568449652939,0.0002487566519791844,0.0002487569685238626,0.00024875664852111896,0.0002487567983355849,0.10167797481957545,0.00024875675071206824,0.090723882799463,0.0792107381772651,0.0002487565947027504,0.0002487565684431531,0.05524507359678345,0.00024875668375907544,0.6706547634296588
S24_2013_11860237,0.01483757287922608,0.00015467953071412406,0.00015467927668079485,0.026633968303550557,0.0001546792151544412,0.00015467943767590405,0.00015467938914909035,0.0001546794199130828,0.41002602361801505,0.08635617026771855,0.00015467954740668106,0.00015467957107945243,0.00015467950298022435,0.059105365709561035,0.40164878433117496
S24_2013_11802041,0.00025839879638514464,0.00025839868259456774,0.00025839886194936704,0.18025212006796149,0.00025839829931350146,0.0002583986502572304,0.0002583986806563419,0.14552014197934532,0.00025839884508892035,0.0002583984920954037,0.0002583987274768924,0.00025839821775230844,0.00025839859017318193,0.00025839853703839153,0.6711269545719121
