,0,1,2,3,4,5,6
,16740.635647510102,0.14285744009332688,0.1428625920563124,163031.75989259288,129040.99320386242,0.14292087028501482,127695.18261513181
april,0.1434553005681101,0.14285747974488378,0.1428574758489375,14.360237507034572,2.142597388532637,0.14285745051121024,186.92513739729222
19,0.14345693832393594,0.14285730683393105,0.14285730494372495,28.69817256915495,14.227708247688637,0.1428572917338425,436.50209034079825
2012,0.14344607952394012,0.14285744513828671,0.14285744167614883,239.93513113954677,3.7597728428804644,0.14285741689527032,912.7330776338525
tip,109.14413555834885,0.14285752545365932,0.1428575210506921,28.760937145742655,2.8255168995337145,0.1429180920947587,19.840777257302335
from,598.9047090775439,0.1428574573310889,0.1428574537813917,2522.359628384487,2551.0256928166077,0.14292158397763052,3026.2813332257565
the,8415.04832812003,0.14285745417100498,0.14286597149716582,28536.13035040627,34778.22054261167,0.14291519623615853,40551.17214023959
lord,0.1430206557887411,0.14285736564872017,0.14285736315206235,79.83969244613185,242.24585539575367,0.14288729653935708,39.34282947649766
of,2554.595269738221,0.14285746372372737,0.142870129787557,11571.753664173099,20713.50757675348,0.14290988903065258,19272.714851852146
darkness,0.1430416558119522,0.14285753175229307,0.14285752725250447,47.72884177391842,10.428403891138885,0.1428574958389286,5.271140123789418
-,45.74436329791188,0.14285746784822848,0.14285746412518985,1941.7054002119785,185.1638425852505,0.1431675600046344,726.9575114123726
have,723.0438286512178,0.14285746217825188,0.14286601027271364,11266.046762067319,5979.384743266703,0.14290283300975593,5476.096039708781
send,0.14372111286465186,0.14285750215497864,0.14285749809494225,216.6627393745988,170.3037872531447,0.14288124402186916,141.4611560145953
me,0.16396036569744815,0.14285736102819765,0.14285735855712076,3132.3349352490936,275.01951254048186,0.14291268603622667,4.05296443866377
these,168.3752433482631,0.14285744170603817,0.14285743839183437,638.5267946219383,1192.187787907177,0.14291913026501546,672.4815401117422
three,45.49727361100826,0.1428574741194437,0.1428574703989567,261.9082878576702,193.45533337557495,0.1429024164469403,380.7104877942655
one,285.48752305475614,0.14285744575655837,0.1428755080920044,2663.7529786816067,2362.697036089959,0.14288594878419342,1093.633843270532
food,53.65645220009982,0.1428574672500642,0.14285746356103565,259.8792872593623,115.90894847473518,108.51411300401845,220.7554841304947
planet,76.16509105446997,0.14285753882545896,0.14285753431798007,20.36268496383778,10.670182869026114,0.1428633349106817,14.373462704083574
be,4371.16356153996,0.1428574565779956,0.14286325627374635,34354.22058921609,25749.143128050186,0.14294451712655093,17532.04405596327
a,4505.899685467024,0.14285747031741802,0.142867656567845,19364.32463542881,11889.991684599474,0.1429504818255074,13389.355318895472
cool,67.54059829132926,0.14285738811752355,0.14285738532743367,77.85516560917371,0.14339835967736148,0.14373190623560425,16.031391059733195
place,218.72785263623902,0.1428574669123357,0.14285746321379697,529.0127612588276,309.1052574310338,0.14292365146889344,446.7254900917916
to,4637.432501052396,0.14285746418967188,0.14286268766161275,20731.793585203442,16401.497246571696,0.14293886010044876,14061.848008159996
chill,0.14481866102068114,0.1428577542074569,0.14285774753746047,15.786314347846114,0.14366822847404895,0.14459989761344094,1.4948833627083
out,258.81518499100656,0.14285746622888842,0.1428606719641475,2428.97608618328,409.6636008167529,0.14298819935161325,698.116421670911
and,2812.097806373895,0.14285746224953247,0.14287016355724008,19740.28942038702,14932.6270875983,0.14293234163047813,16217.557025672844
enjoy,75.40555057126834,0.14285754175749088,0.14285753726118866,200.92829140404578,26.852955894196292,0.1428937447442599,57.38459330621496
smell,0.14345376839155158,0.1428574543734644,0.14285745079621104,86.90890312146107,16.639584944175816,0.14285742596141585,1.8794858343120895
chocolate,0.14435393292050955,0.14285759437930085,0.14285758918724017,54.19011889026584,9.867530588216336,0.1428575525875699,5.3694238518962125
but,178.98936586281283,0.14285742175836058,0.1428670312070222,5017.390372364956,1596.3465242400803,0.14290299831763947,1419.8451100803563
there,184.84183185569947,0.1428574502074651,0.14285744669666647,2756.6378954863544,1490.8389252883615,0.1429690499885586,1001.2526634221783
only,153.49464265343454,0.1428574304976968,0.14285742724043135,1001.7704864083115,1117.1276505836845,0.14291843319479577,696.1785870631203
thing,46.87109643724115,0.14285739895371874,0.1428573960462632,1592.163974927682,446.1422065403048,0.14300182931994343,66.39400546996143
dodge,0.14457908954581,0.14285770167747883,0.14285769522562228,5.999741148090249,1.2635536577760549,0.14285765224244537,13.163553054810984
fast,50.807414453427185,0.14285740179177783,0.14285739886906676,109.96483769633653,82.7154769674027,0.1429553669708554,49.08360071469208
big,70.97238959541815,0.14285743573888618,0.14285743241571633,556.7457660617642,37.27432351201303,0.1428697764764346,221.57893618567832
hide,0.14441177698785473,0.1428574398359211,0.1433179174020825,109.5810213476727,20.139212618524844,0.142857412326759,39.70632148670143
spot,39.62821963239889,0.14285742110319954,0.1428574179742533,115.06929122410341,1.4934065894063293,0.14288925971623806,58.38047845477636
do,397.0737877673299,0.14285741002237742,0.14286341883419076,8047.570079773529,3194.1110057005076,0.14296585193417846,695.8164400773461
n't,132.09904233291147,0.14285740599915317,0.14286646055048213,5328.1096396159155,268.10784857484657,0.1429595315437891,142.25478607776898
for,1204.2496944088675,0.14285747614377378,0.14288051758530504,6478.457884567071,4950.114472430131,0.14291677219839832,5516.749293827488
too,40.1801634224047,0.14285741557198822,0.14285741251881978,1009.0858402154402,148.41037643348443,0.1429183172906123,139.8949867827876
long,90.54545924161296,0.1428574676309143,0.14285746396252752,758.276910816952,293.33339048556354,0.14295490213052797,402.4155696216348
