,0,1,2,3,4,5,6
S24_2013_11735526,0.1154975046817874,0.6779687633878881,0.0005777191914625179,0.0005764938877843561,0.20422797257855377,0.0005759588898115022,0.0005755873827121362
S24_2013_10819863,0.0005903862690772661,0.18363026833474355,0.0005906480314033322,0.0005901332341499353,0.492182573361175,0.0005905167342607238,0.3218254740351902
S24_2013_11445294,0.0004533698285118949,0.4502086317830308,0.0004534080199923508,0.024065202732423484,0.0004537131596737761,0.3927380907582859,0.13162758371808198
S24_2013_11532605,0.9253547466430528,0.01094038793414515,0.000287024900283862,0.00028672609605902646,0.00028681284318603066,0.06255717043347905,0.00028713114979419683
S24_2013_11584832,0.0002055683304878841,0.190065429119308,0.00020537682606004966,0.0002053508693439733,0.7181886372051002,0.09092429612041865,0.0002053415292812479
S24_2013_11947106,0.6337382935401936,0.16644101721692112,0.05754306446375824,0.000243116929480263,0.02780442078187226,0.11398678972537425,0.00024329734240023394
S24_2013_11191735,0.0463695201817899,0.12615399093064844,0.0005150412603386695,0.0005145455272842477,0.825418619991949,0.0005142374495977358,0.0005140446583920542
S24_2013_11831038,0.0005779452461380924,0.0005782513968748973,0.0005780828103284881,0.05981543278308487,0.4552343350418959,0.09635334262665673,0.38686261009502104
S24_2013_11256816,0.0002596223058137903,0.4757570676895428,0.00025972883037757196,0.00025990928351634935,0.02540860076357974,0.49779524433386946,0.00025982679330035916
S24_2013_11179684,0.00035184909487995654,0.7233225250761737,0.00035214725427526163,0.09204344579883464,0.0003521049372138189,0.183225679427339,0.0003522484112836733
S24_2013_11620754,0.00033650920524573753,0.00033640689812418725,0.00033645525857162157,0.00033655785371087366,0.3562933124383439,0.06654564676707254,0.5758151115789311
S24_2013_11947552,0.02838686759011182,0.0002493399913415913,0.20866287359378316,0.0002493518543597506,0.027836640792942197,0.7343655981499254,0.000249328027535997
S24_2013_11812815,0.0002181527350319924,0.0002185866139746959,0.00021805355373855052,0.00021820238084110157,0.9986907755644666,0.00021815832674924982,0.00021807082519771997
S24_2013_11594670,0.7039699962279574,0.0006242262247914306,0.000623185011498667,0.0006233529313932953,0.2929114825093496,0.0006241913150959775,0.000623565779913495
S24_2013_11742593,0.36219156598671265,0.00026432759082370183,0.014245796042755113,0.13712775009556427,0.0002645274010547891,0.48564137379681965,0.0002646590862699758
S24_2013_11161117,0.00023208737872447825,0.13023265424974584,0.00023204932286405674,0.034924766975638975,0.03708079611046429,0.5026092576630956,0.29468838829946675
S24_2013_11180865,0.694947457559611,0.1536197574167033,0.15021996615351071,0.00030311899560032506,0.0003032155092033145,0.00030330795262450885,0.0003031764127469253
S24_2013_11832809,0.0005348981423302266,0.8093815285331601,0.0005351545280829889,0.0005350472619964836,0.07037632451218429,0.0005353514284019505,0.11810169559384391
S24_2013_11860237,0.0003330858405263612,0.08993853001844176,0.00033253010389753884,0.00033283712877587885,0.13643104733028105,0.4195533108679037,0.35307865871017374
S24_2013_11802041,0.10033497021543487,0.6944429117722677,0.0005553266912639912,0.042816990288497836,0.0005563532954024471,0.16073766346185733,0.0005557842752756578
S24_2013_1290513,0.0005758339177488358,0.0005762077287237226,0.13418397878846397,0.23239208650364435,0.01162790727037757,0.3136178924218887,0.30702609336915293
S24_2013_11478992,0.0002518677077852941,0.3011098091830801,0.3459131980983901,0.00025210239341393737,0.004292899027098005,0.3479281581721055,0.00025196541812720706
S24_2013_11957122,0.0005992826403698895,0.9154848208103168,0.0005994889137092487,0.08151616940610645,0.0005997385059891601,0.0006005667295176757,0.0005999329939906277
S24_2013_11680305,0.0005755217081613637,0.14201759758543586,0.0005763322008476042,0.0005762508008860763,0.4029035692105332,0.0005764820385593926,0.4527742464555764
