,0,1,2,3,4,5,6,7,8,9
1719250,0.3104099850954228,0.0004545454758218821,0.0004545454768555593,0.0004546818383454762,0.00045454547056133566,0.0004546831751411622,0.00045470668650739545,0.0004545454768555593,0.6859531338069986,0.0004546274974901569
1719251,0.29539034311932194,0.0004651162977659964,0.00046511629867505074,0.09288478811115411,0.0004653142356095481,0.00046524988032249203,0.00046517045406169286,0.00046511629867505074,0.6084685428048173,0.0004652424995968757
1719252,0.590681893754116,0.0005780347139286764,0.0005780347154769833,0.0005782008675596277,0.0005780368368841986,0.0005781833197780703,0.0005780810045925612,0.0005780347154769833,0.40469333095123416,0.0005781691209527078
1721352,0.5648013077584638,0.00015625001881892003,0.00015625001973409926,0.08544423882196105,0.00015625001416334192,0.00015628486010790961,0.000156282666208869,0.00015625001973409926,0.00015628881282790167,0.3486605970079801
1724351,0.05669701134229597,3.492839948284593e-05,3.492839961374152e-05,0.35731610179363554,3.492878586648075e-05,0.5356066360732599,3.4940230019356685e-05,3.492839961374152e-05,0.05017065768107092,3.4938895141485854e-05
1733252,0.11687675152792158,0.00012332730617531184,0.00012330457378455491,0.19545595554560335,0.0001233069147401005,0.040435198437747844,0.00012331947358664306,0.00012330457378455491,0.646492197069604,0.0001233345770520172
1733350,0.0001490762768653659,0.00014903130832456097,0.0001490313088959676,0.16979572684296046,0.00014903327962563907,0.18809163862814113,0.00014907279451266308,0.0001490313088959676,0.6410692830321952,0.00014907521958297567
1734751,0.4599896370415059,0.00012210013176078003,0.00012210013223045037,0.15582584870558852,0.00012210156004993753,0.00012213366748269655,0.0001221193538836523,0.00012210013223045037,0.3833297262855015,0.00012213298976595174
1738751,0.1344994554919306,0.000543478301590105,0.00054347830357004,0.26238831405406454,0.0005435620967719739,0.28050427207708034,0.000543506133749277,0.00054347830357004,0.14258122603576578,0.17730922920190748
1740350,0.3492699922249279,0.001030927903569283,0.00103092790690052,0.39258370104201945,0.0010309855460738332,0.20234444077466837,0.001030991219575238,0.00103092790690052,0.0010312373715655435,0.04961586810379934
