,0,1,2,3,4
S24_2013_11735526,0.00082862299874506,0.10373036198074262,0.19692562920977028,0.029248672470660035,0.6692667133400819
S24_2013_10819863,0.0008451197382699625,0.830754301623844,0.0008472431490371597,0.0008414877765706346,0.1667118477122782
S24_2013_11445294,0.0006430956398285471,0.48337588622876143,0.0006454352643950737,0.4525496335427999,0.06278594932421507
S24_2013_11532605,0.00040796605919116884,0.0004107627712589573,0.933946814767022,0.00041107360194309354,0.06482338280058474
S24_2013_11584832,0.7277469776009966,0.000296183812807377,0.0002963683633009635,0.04106362879765837,0.23059684142523673
S24_2013_11947106,0.00034570962276055995,0.044567006352436336,0.7131892152347505,0.021863609247377135,0.2200344595426753
S24_2013_11191735,0.41489261020280194,0.195828705802089,0.21936344596457838,0.0007355259392638821,0.16917971209126673
S24_2013_11831038,0.18293480750173716,0.8145948556713625,0.0008213797632767919,0.0008202265226081152,0.0008287305410155071
S24_2013_11256816,0.0003732308963972703,0.00037632796491545513,0.0003709212937146286,0.0003757182293682295,0.9985038016156044
S24_2013_11179684,0.0005037900142102101,0.0005091509185003889,0.000502312757520084,0.3426916245607981,0.6557931217489712
S24_2013_11620754,0.3298458292880876,0.6687118569274202,0.00047991821657440947,0.000481420592288276,0.00048097497562957074
S24_2013_11947552,0.12391112013959268,0.022319328030774667,0.0660210296293678,0.7873903624880485,0.0003581597122163624
S24_2013_11812815,0.9953670915765342,0.000310673876476123,0.003698504048830494,0.00031068572046973427,0.0003130447776892964
S24_2013_11594670,0.2661241778123463,0.0008893484225000294,0.5800614620969713,0.05435933211406972,0.09856567955411275
S24_2013_11742593,0.03867119665467376,0.0013139787982850573,0.06476072623193257,0.8948776567221082,0.00037644159300049824
S24_2013_11161117,0.00032954586991428795,0.6854733707768895,0.00033347362268031794,0.0003316838083855048,0.3135319259221304
S24_2013_11180865,0.00043409303840140866,0.00043369342242718516,0.8048498681554223,0.00043112470296461443,0.19385122068078453
S24_2013_11832809,0.000802675015483687,0.3806627310090075,0.0008069794526240163,0.11411837360283579,0.503609240920049
S24_2013_11860237,0.03612409375974916,0.7567137737360176,0.00047922866868660283,0.0637283330054543,0.1429545708300923
S24_2013_11802041,0.0008041406369690917,0.0007953498594321166,0.07959543002946715,0.35229380593629445,0.5665112735378371
S24_2013_1290513,0.0008201552003219458,0.6237837558713586,0.0008227595936690657,0.16175528444446416,0.21281804489018633
S24_2013_11478992,0.0003577394526658447,0.0003623727248869229,0.00035757673391116174,0.08011240984656903,0.918809901241967
S24_2013_11957122,0.0008672595020130679,0.0008746267474372684,0.0008700119881895286,0.10986814351299141,0.8875199582493687
S24_2013_11680305,0.0008197413889489066,0.9967092185718062,0.000818279131018753,0.000827861884383058,0.0008248990238429759
S24_2013_11460698,0.0008799879116721293,0.0008819222806292128,0.0008838589713485257,0.0008780027633785184,0.9964762280729715
S24_2013_11619166,0.0006342699151964576,0.4841861190010528,0.0006351078626801566,0.5139005458308605,0.0006439573902099368
S24_2013_11828498,0.07963718857263538,0.000531795229060371,0.047619911377440774,0.013069006840558506,0.8591420979803049
